province,month,PM2.5,PM10,SO2,NO2,CO,O3,AQI,AQI_rank
上海市,2017-01,45.29,61.99,14.37,39.93,0.84,46.24,69,二级
上海市,2017-02,50.28,68.07,14.44,41.77,0.8,60.39,73,二级
上海市,2017-03,42.29,61.44,11.87,41.79,0.67,77.07,63,二级
上海市,2017-04,42.91,70.57,11.99,42.43,0.71,87.67,68,二级
上海市,2017-05,30.21,56.04,9.97,30.02,0.54,94.33,59,二级
上海市,2017-06,33.58,45.4,9.16,28.49,0.58,89.64,57,二级
上海市,2017-07,30.04,49.98,9.84,27.88,0.57,97.76,57,二级
上海市,2017-08,29.97,46.03,10.26,26.91,0.65,86.97,53,二级
上海市,2017-09,24.93,40.53,8.24,29.05,0.64,81.77,52,二级
上海市,2017-10,22.88,40.13,9.29,28.52,0.62,71.89,47,一级
上海市,2017-11,39.28,63.69,12.02,50.74,0.74,48.65,70,二级
上海市,2017-12,56.5,81.9,15.31,60.57,0.96,34.29,89,二级
云南省,2017-01,25.09,35.19,7.75,7.58,0.65,58.12,38,一级
云南省,2017-02,30.27,41.63,7.09,8.58,0.66,68.28,45,一级
云南省,2017-03,35.88,52.58,7.23,9.92,0.66,81.36,53,二级
云南省,2017-04,29.62,42.37,6.56,7.63,0.58,80.89,46,一级
云南省,2017-05,26.1,38.15,7.37,6.04,0.51,81.64,43,一级
云南省,2017-06,15.42,23.33,5.24,4.79,0.41,59.46,31,一级
云南省,2017-07,15.85,23.65,5.2,5.6,0.43,49.93,27,一级
云南省,2017-08,16.61,25.53,5.92,5.49,0.44,50.65,28,一级
云南省,2017-09,18.24,27.97,6.87,5.44,0.46,49.44,30,一级
云南省,2017-10,21.37,32.78,9.72,7.19,0.5,50.64,34,一级
云南省,2017-11,23.59,35.4,9.64,9.79,0.57,53.98,37,一级
云南省,2017-12,28.23,43.35,10.98,11.34,0.67,53.74,44,一级
内蒙古自治区,2017-01,13.68,19.64,9.39,7.75,0.42,47.59,29,一级
内蒙古自治区,2017-02,12.24,18.08,8.38,6.87,0.37,53.33,30,一级
内蒙古自治区,2017-03,12.88,17.79,6.71,4.92,0.31,65.7,35,一级
内蒙古自治区,2017-04,18.7,25.32,4.04,3.71,0.24,71.52,39,一级
内蒙古自治区,2017-05,31.24,40.64,3.57,3.5,0.21,78.06,52,二级
内蒙古自治区,2017-06,20.27,26.2,4.6,3.89,0.24,80.68,43,一级
内蒙古自治区,2017-07,20.15,25.49,5.15,4.02,0.25,79.77,41,一级
内蒙古自治区,2017-08,22.24,27.29,5.5,3.95,0.25,71.03,38,一级
内蒙古自治区,2017-09,20.27,26.45,5.55,4.96,0.26,65.46,37,一级
内蒙古自治区,2017-10,19.91,26.68,7.65,6.94,0.3,53.28,35,一级
内蒙古自治区,2017-11,11.2,17.91,6.54,6.55,0.29,52.6,29,一级
内蒙古自治区,2017-12,9.19,14.61,6.67,6.84,0.34,46.06,26,一级
北京市,2017-01,81.51,104.85,16.91,46.63,1.61,32.06,110,三级
北京市,2017-02,52.71,68.62,15.09,36.66,0.98,45.46,77,二级
北京市,2017-03,49.24,68.49,11.53,33.61,0.7,61.59,76,二级
北京市,2017-04,43.15,75.08,7.83,28.94,0.51,67.94,68,二级
北京市,2017-05,47.25,91.85,8.4,22.88,0.54,103.81,79,二级
北京市,2017-06,37.27,64.04,8.27,22.87,0.61,119.37,71,二级
北京市,2017-07,45.87,66.38,5.3,20.48,0.7,108.05,72,二级
北京市,2017-08,35.09,52.97,5.02,19.75,0.6,82.71,57,二级
北京市,2017-09,46.47,76.82,6.5,29.33,0.67,77.21,71,二级
北京市,2017-10,47.23,68.63,5.87,32.2,0.7,33.52,69,二级
北京市,2017-11,35.8,56.61,7.35,34.92,0.68,34.62,57,二级
北京市,2017-12,33.8,51.26,9.05,34.09,0.79,32.72,56,二级
台湾省,2017-01,19.94,25.26,6.6,17.17,0.28,55.5,37,一级
台湾省,2017-02,22.77,28.17,6.36,15.08,0.29,61.32,38,一级
台湾省,2017-03,23.01,27.96,6.64,15.4,0.25,71.31,39,一级
台湾省,2017-04,22.84,26.7,6.42,15.31,0.21,70.82,39,一级
台湾省,2017-05,22.79,26.33,5.96,15.33,0.18,76.35,40,一级
台湾省,2017-06,9.32,11.87,4.74,14.94,0.13,43.91,23,一级
台湾省,2017-07,10.61,13.31,5.05,14.9,0.12,43.19,23,一级
台湾省,2017-08,11.23,13.97,5.18,16.24,0.13,50.53,26,一级
台湾省,2017-09,16.14,19.45,6.39,16.87,0.16,63.95,33,一级
台湾省,2017-10,9.87,14.52,4.41,11.52,0.17,65.3,34,一级
台湾省,2017-11,12.98,18.29,5.73,15.37,0.21,59.78,33,一级
台湾省,2017-12,19.6,24.75,7.61,15.8,0.28,57.2,37,一级
吉林省,2017-01,53.51,65.24,22.4,22.91,0.98,45.76,74,二级
吉林省,2017-02,37.73,47.91,17.85,17.85,0.79,58.72,54,二级
吉林省,2017-03,36.33,48.23,12.06,15.4,0.7,66.65,52,二级
吉林省,2017-04,29.01,44.82,7.5,11.22,0.57,75.64,50,一级
吉林省,2017-05,23.58,44.16,6.08,8.39,0.44,85.42,51,二级
吉林省,2017-06,20.35,30.16,6.34,9.65,0.45,83.06,43,一级
吉林省,2017-07,22.67,32.9,7.04,7.57,0.48,87.2,45,一级
吉林省,2017-08,15.68,24.58,5.93,6.63,0.42,65.15,34,一级
吉林省,2017-09,16.25,25.71,6.83,9.46,0.47,60.56,32,一级
吉林省,2017-10,33.72,47.59,9.8,17.33,0.63,52.63,50,一级
吉林省,2017-11,31.78,44.28,11.17,14.3,0.58,46.56,48,一级
吉林省,2017-12,37.0,48.66,15.16,20.11,0.76,39.71,53,二级
四川省,2017-01,38.74,55.18,7.66,13.02,0.61,59.79,56,二级
四川省,2017-02,29.28,41.91,6.97,11.07,0.52,61.24,44,一级
四川省,2017-03,22.34,34.48,6.52,10.58,0.43,71.66,41,一级
四川省,2017-04,20.48,31.56,6.4,9.17,0.39,82.02,43,一级
四川省,2017-05,24.01,35.45,6.0,8.17,0.37,91.6,48,一级
四川省,2017-06,23.31,33.62,6.81,7.24,0.38,76.86,41,一级
四川省,2017-07,20.31,29.61,6.3,6.78,0.35,77.77,41,一级
四川省,2017-08,21.76,31.31,6.81,5.87,0.36,74.21,39,一级
四川省,2017-09,20.45,29.78,6.67,7.0,0.39,68.13,37,一级
四川省,2017-10,18.54,27.14,7.23,8.6,0.39,57.49,32,一级
四川省,2017-11,23.1,34.38,6.57,11.78,0.45,60.33,37,一级
四川省,2017-12,33.25,49.93,6.91,15.56,0.55,55.7,50,一级
天津市,2017-01,103.63,137.66,27.64,64.33,2.33,25.41,137,三级
天津市,2017-02,78.37,109.22,24.73,57.98,1.52,40.97,111,三级
天津市,2017-03,63.31,96.77,21.37,56.17,1.12,55.0,92,二级
天津市,2017-04,56.27,107.19,16.9,48.36,0.95,65.69,87,二级
天津市,2017-05,54.19,118.36,14.21,35.16,0.87,99.6,90,二级
天津市,2017-06,43.04,73.14,12.43,33.35,0.92,117.7,73,二级
天津市,2017-07,46.78,71.53,9.32,27.43,1.03,100.28,72,二级
天津市,2017-08,35.45,56.01,9.34,29.85,0.92,84.84,59,二级
天津市,2017-09,50.13,88.04,12.63,38.81,1.02,88.87,77,二级
天津市,2017-10,57.23,83.58,11.54,49.11,1.11,32.46,85,二级
天津市,2017-11,50.99,84.37,13.28,51.11,1.01,25.82,80,二级
天津市,2017-12,63.61,96.06,17.03,54.8,1.37,21.89,94,二级
宁夏回族自治区,2017-01,45.73,86.82,35.06,24.21,1.01,42.15,75,二级
宁夏回族自治区,2017-02,44.75,82.84,29.25,22.71,0.94,51.24,72,二级
宁夏回族自治区,2017-03,32.55,59.47,18.7,18.31,0.67,64.97,56,二级
宁夏回族自治区,2017-04,27.81,64.12,12.04,15.24,0.44,76.85,57,二级
宁夏回族自治区,2017-05,39.38,83.96,11.16,14.7,0.46,86.89,70,二级
宁夏回族自治区,2017-06,27.29,54.69,11.2,12.13,0.41,98.92,57,二级
宁夏回族自治区,2017-07,26.29,51.54,10.61,10.94,0.4,95.21,54,二级
宁夏回族自治区,2017-08,24.34,44.65,11.6,13.02,0.47,81.1,47,一级
宁夏回族自治区,2017-09,29.54,56.69,12.73,16.22,0.44,68.44,53,二级
宁夏回族自治区,2017-10,31.66,60.27,14.54,19.09,0.54,49.53,55,二级
宁夏回族自治区,2017-11,33.27,74.92,21.32,24.44,0.64,46.89,63,二级
宁夏回族自治区,2017-12,36.88,77.79,21.18,25.53,0.82,43.03,64,二级
安徽省,2017-01,79.32,106.9,17.24,38.27,1.1,42.82,107,三级
安徽省,2017-02,74.05,100.94,16.75,34.01,0.93,58.04,100,二级
安徽省,2017-03,55.46,85.65,14.55,33.34,0.74,66.68,78,二级
安徽省,2017-04,48.13,83.62,13.47,26.48,0.75,84.13,73,二级
安徽省,2017-05,45.01,83.02,11.27,21.86,0.64,102.79,72,二级
安徽省,2017-06,37.74,62.61,10.82,17.89,0.62,100.12,59,二级
安徽省,2017-07,26.53,46.83,9.33,16.25,0.53,73.91,46,一级
安徽省,2017-08,27.82,47.99,11.15,16.83,0.6,75.03,48,一级
安徽省,2017-09,31.91,53.01,10.65,21.12,0.68,73.6,51,二级
安徽省,2017-10,41.26,65.97,12.53,30.64,0.7,61.17,60,二级
安徽省,2017-11,61.4,99.17,14.32,42.24,0.79,48.01,86,二级
安徽省,2017-12,81.38,116.4,16.13,48.6,0.94,36.62,109,三级
山东省,2017-01,97.24,147.16,32.81,45.7,1.75,33.45,130,三级
山东省,2017-02,77.07,119.63,31.85,38.58,1.23,51.74,107,三级
山东省,2017-03,57.49,101.75,24.74,37.32,0.95,64.59,83,二级
山东省,2017-04,50.49,103.93,19.57,31.77,0.9,82.88,81,二级
山东省,2017-05,47.18,113.05,17.97,24.59,0.76,113.97,89,二级
山东省,2017-06,40.34,80.93,14.67,22.57,0.76,119.92,73,二级
山东省,2017-07,36.32,67.92,10.82,18.32,0.79,92.68,60,二级
山东省,2017-08,31.78,57.66,11.06,20.23,0.74,87.96,55,二级
山东省,2017-09,36.99,73.51,12.73,26.84,0.8,93.29,62,二级
山东省,2017-10,46.06,81.08,14.2,36.8,0.9,54.25,70,二级
