province,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
内蒙古自治区,2013-01-01,3.82,5.1,4.39,2.56,0.3,47.04,4.09,-4.25,247.97,63.5,90125.46,24,一级
内蒙古自治区,2013-01-02,3.9,4.94,4.59,2.62,0.33,50.48,3.73,-3.6,247.96,60.51,91093.47,26,一级
内蒙古自治区,2013-01-03,7.29,9.4,10.08,4.73,0.33,50.02,3.25,-0.51,250.69,56.89,91338.84,26,一级
内蒙古自治区,2013-01-04,16.06,20.5,16.55,7.67,0.44,48.08,4.08,0.75,252.31,53.01,90555.76,25,一级
内蒙古自治区,2013-01-05,16.45,21.32,17.24,6.88,0.44,48.04,4.18,-1.55,252.78,51.72,90517.35,25,一级
内蒙古自治区,2013-01-06,17.48,22.79,19.17,7.24,0.42,46.22,4.2,-0.06,252.63,55.84,90471.09,25,一级
内蒙古自治区,2013-01-07,14.72,20.38,14.63,5.99,0.4,45.95,3.81,-1.87,251.28,62.7,90540.96,23,一级
内蒙古自治区,2013-01-08,6.81,9.51,8.42,4.01,0.32,49.0,3.97,-1.48,249.45,62.27,90765.86,25,一级
内蒙古自治区,2013-01-09,9.98,13.0,12.27,5.9,0.37,47.82,3.74,-0.13,251.38,60.81,90499.87,24,一级
内蒙古自治区,2013-01-10,19.75,26.06,22.81,10.02,0.48,43.5,4.63,0.39,253.5,59.59,90398.2,29,一级
内蒙古自治区,2013-01-11,13.13,17.8,13.27,6.4,0.38,46.45,4.32,0.03,253.49,65.31,90390.06,24,一级
内蒙古自治区,2013-01-12,13.82,19.25,16.99,7.03,0.42,46.51,3.96,0.22,255.15,58.76,90206.77,24,一级
内蒙古自治区,2013-01-13,19.23,25.77,18.31,8.86,0.47,44.27,2.28,0.96,255.93,58.85,90195.82,28,一级
内蒙古自治区,2013-01-14,20.37,29.11,21.89,9.23,0.48,42.05,3.91,-0.3,255.64,59.54,90605.66,30,一级
内蒙古自治区,2013-01-15,15.66,23.17,12.99,6.76,0.4,43.8,3.27,-1.41,255.04,68.31,90634.66,24,一级
内蒙古自治区,2013-01-16,8.51,11.72,9.07,4.39,0.35,46.89,2.63,-1.67,253.48,66.16,91134.13,24,一级
内蒙古自治区,2013-01-17,12.31,15.87,13.91,7.14,0.4,44.51,2.59,1.81,257.41,61.55,91144.03,23,一级
内蒙古自治区,2013-01-18,23.8,30.89,19.64,10.78,0.51,39.61,2.97,-0.13,258.63,61.87,90680.29,34,一级
内蒙古自治区,2013-01-19,29.21,38.8,23.87,11.07,0.56,40.12,0.83,0.3,257.79,63.83,90659.54,42,一级
内蒙古自治区,2013-01-20,30.82,37.38,18.4,10.48,0.5,40.15,2.04,-0.44,258.15,72.49,90861.06,45,一级
内蒙古自治区,2013-01-21,16.64,19.93,10.89,5.89,0.36,46.53,1.98,-0.98,256.49,66.8,91017.41,24,一级
内蒙古自治区,2013-01-22,19.82,24.16,16.73,8.36,0.42,46.33,4.03,1.92,258.48,64.39,90536.35,29,一级
内蒙古自治区,2013-01-23,13.18,17.45,9.35,5.72,0.36,45.34,4.64,-2.62,257.05,68.26,90073.47,23,一级
内蒙古自治区,2013-01-24,4.08,5.71,6.5,2.91,0.28,52.61,6.15,-3.7,253.7,57.52,90282.76,27,一级
内蒙古自治区,2013-01-25,6.14,8.58,8.71,3.8,0.31,51.96,5.93,-2.43,255.28,53.31,90254.36,26,一级
内蒙古自治区,2013-01-26,8.67,11.54,10.04,4.54,0.32,46.62,3.97,-0.81,256.59,60.9,90593.96,24,一级
内蒙古自治区,2013-01-27,12.3,16.63,15.81,6.64,0.36,42.66,4.63,1.29,259.84,61.32,90399.65,22,一级
内蒙古自治区,2013-01-28,14.27,19.39,14.59,6.51,0.41,42.87,3.8,0.75,262.31,64.89,90170.11,22,一级
内蒙古自治区,2013-01-29,19.88,25.58,22.14,9.94,0.46,40.57,2.84,1.67,263.74,62.14,90272.3,29,一级
内蒙古自治区,2013-01-30,28.31,34.98,21.78,12.13,0.52,33.41,2.03,1.64,263.64,64.62,90205.82,41,一级
内蒙古自治区,2013-01-31,27.28,34.35,17.73,9.53,0.47,41.04,2.57,-0.37,262.47,67.73,90250.86,39,一级
内蒙古自治区,2013-02-01,6.12,8.19,6.66,3.29,0.27,49.42,3.78,-3.19,256.75,60.72,90676.84,25,一级
内蒙古自治区,2013-02-02,8.88,11.83,11.65,5.83,0.35,47.15,3.66,1.15,257.38,56.39,90541.15,24,一级
内蒙古自治区,2013-02-03,21.85,27.92,16.3,8.97,0.41,41.92,2.72,-0.44,259.3,62.42,90038.05,32,一级
内蒙古自治区,2013-02-04,7.02,9.41,8.32,4.76,0.26,46.77,2.23,-0.15,256.54,59.2,90363.81,24,一级
内蒙古自治区,2013-02-05,9.89,13.4,10.26,5.67,0.34,46.51,3.54,-1.53,257.91,60.66,90372.94,24,一级
内蒙古自治区,2013-02-06,3.91,5.59,5.28,2.97,0.27,53.57,2.05,-4.48,252.63,56.78,90606.3,27,一级
内蒙古自治区,2013-02-07,3.81,5.13,5.21,3.09,0.26,58.63,2.12,-3.97,251.37,54.61,91161.57,30,一级
内蒙古自治区,2013-02-08,9.54,12.86,13.56,5.48,0.35,53.31,4.31,0.15,254.7,61.0,90875.58,27,一级
内蒙古自治区,2013-02-09,10.24,14.25,10.77,5.01,0.35,50.3,2.3,-1.52,255.05,65.38,90386.39,26,一级
内蒙古自治区,2013-02-10,7.86,10.52,8.18,4.31,0.27,53.39,1.94,-2.19,253.91,63.15,90731.54,27,一级
内蒙古自治区,2013-02-11,9.41,12.5,9.77,4.21,0.31,55.85,4.99,-0.08,255.42,63.52,90782.23,28,一级
内蒙古自治区,2013-02-12,6.58,11.73,7.29,3.23,0.28,56.16,6.53,1.05,257.74,59.1,90255.92,29,一级
内蒙古自治区,2013-02-13,5.91,8.97,7.04,3.04,0.28,52.77,6.18,-1.7,258.7,59.87,90096.42,27,一级
内蒙古自治区,2013-02-14,5.14,7.24,5.97,2.67,0.29,54.53,4.65,-2.14,255.64,65.12,90555.89,28,一级
内蒙古自治区,2013-02-15,8.68,11.71,9.95,4.95,0.32,52.54,3.56,1.4,257.44,60.1,90277.08,27,一级
内蒙古自治区,2013-02-16,18.56,24.06,15.02,8.15,0.41,47.98,3.67,1.41,260.53,59.63,89887.31,27,一级
内蒙古自治区,2013-02-17,9.64,14.46,6.52,3.73,0.27,53.77,5.03,-3.23,256.99,57.64,90098.41,27,一级
内蒙古自治区,2013-02-18,4.87,6.43,5.19,2.47,0.26,55.33,4.26,-2.59,254.06,55.17,90526.02,28,一级
内蒙古自治区,2013-02-19,7.06,9.79,10.91,4.42,0.33,55.73,5.06,-1.25,255.15,51.17,90473.98,28,一级
内蒙古自治区,2013-02-20,5.52,7.5,6.4,3.33,0.31,58.06,4.4,-0.98,255.69,51.96,90638.45,30,一级
内蒙古自治区,2013-02-21,5.5,7.9,6.29,3.29,0.29,57.36,5.49,-0.82,258.75,52.09,90616.36,29,一级
内蒙古自治区,2013-02-22,5.15,6.98,7.09,3.41,0.28,55.88,4.08,-0.94,260.22,54.12,90671.39,28,一级
内蒙古自治区,2013-02-23,10.79,14.86,12.48,5.93,0.38,52.23,2.57,-0.89,262.86,53.21,90702.32,27,一级
内蒙古自治区,2013-02-24,26.29,33.3,19.44,9.23,0.47,47.11,0.58,0.7,263.22,59.01,90707.06,38,一级
内蒙古自治区,2013-02-25,27.69,37.35,16.54,8.09,0.44,47.02,2.66,1.25,264.98,60.48,90546.86,40,一级
内蒙古自治区,2013-02-26,16.2,21.36,9.63,5.32,0.37,46.45,3.56,0.21,266.53,59.63,90168.61,24,一级
内蒙古自治区,2013-02-27,11.21,15.64,10.29,4.95,0.35,49.95,4.4,-0.05,267.08,53.32,89809.34,25,一级
内蒙古自治区,2013-02-28,11.52,19.55,5.65,3.39,0.27,58.39,2.64,-4.91,262.23,55.36,89980.92,30,一级
内蒙古自治区,2013-03-01,3.9,5.52,5.32,2.83,0.22,61.4,2.57,-3.79,259.53,50.5,90931.14,31,一级
内蒙古自治区,2013-03-02,10.51,15.27,10.16,4.86,0.26,55.1,4.58,0.71,263.19,46.35,90882.37,28,一级
内蒙古自治区,2013-03-03,9.74,16.88,6.2,3.55,0.23,51.05,5.09,-2.1,265.47,54.87,90475.85,26,一级
内蒙古自治区,2013-03-04,8.31,11.23,7.94,4.33,0.24,51.61,4.67,1.32,269.25,53.6,90244.88,26,一级
内蒙古自治区,2013-03-05,17.79,23.81,11.74,6.39,0.29,47.23,5.76,-0.51,273.02,52.42,89930.17,26,一级
内蒙古自治区,2013-03-06,11.11,16.47,5.57,3.39,0.23,55.57,6.42,-1.04,271.74,59.6,90061.93,28,一级
内蒙古自治区,2013-03-07,24.18,29.6,5.38,3.33,0.23,58.98,7.49,-1.22,270.23,48.64,89625.81,35,一级
内蒙古自治区,2013-03-08,30.47,41.51,7.5,4.5,0.23,55.84,4.72,-0.34,270.99,48.38,89348.26,44,一级
内蒙古自治区,2013-03-09,31.11,40.51,4.63,3.28,0.21,66.87,3.0,-4.7,265.26,51.63,89928.25,45,一级
