province,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
北京市,2013-01-01,27.47,41.24,22.05,18.91,0.99,41.74,3.75,-6.64,258.65,39.22,98311.23,42,一级
北京市,2013-01-02,12.52,20.25,14.14,10.22,0.61,51.22,5.48,-7.05,256.75,36.37,99542.52,26,一级
北京市,2013-01-03,25.71,38.76,26.73,19.78,0.7,48.98,3.84,-4.78,259.62,39.79,99956.26,39,一级
北京市,2013-01-04,86.53,127.6,91.42,48.62,1.54,34.26,3.07,-1.77,261.21,40.39,99091.12,115,三级
北京市,2013-01-05,89.87,119.51,60.4,41.85,1.63,40.48,2.02,-3.93,263.14,36.0,98753.94,119,三级
北京市,2013-01-06,105.15,143.69,81.1,59.66,2.04,30.37,1.5,-1.6,263.12,43.51,98713.44,138,三级
北京市,2013-01-07,125.91,167.35,78.07,59.24,2.57,24.16,1.07,-2.93,264.27,42.78,98541.25,166,四级
北京市,2013-01-08,57.79,76.92,48.75,33.03,1.45,39.38,2.12,-5.08,260.49,44.83,99056.15,79,二级
北京市,2013-01-09,43.22,62.05,40.27,33.93,0.97,40.47,3.55,-2.74,262.19,40.73,98932.41,61,二级
北京市,2013-01-10,227.79,308.27,108.33,79.26,2.92,19.0,0.18,0.6,264.51,55.89,98662.48,278,五级
北京市,2013-01-11,178.02,249.44,98.92,65.1,2.51,24.45,2.73,-3.03,266.32,58.44,98335.36,229,五级
北京市,2013-01-12,334.51,440.34,129.53,90.52,5.28,18.28,0.17,0.77,267.82,53.81,98344.79,385,六级
北京市,2013-01-13,215.52,303.01,148.83,74.28,4.53,13.32,-0.32,-1.02,266.8,67.62,98375.5,266,五级
北京市,2013-01-14,157.54,212.99,96.47,64.15,3.64,19.78,-1.04,0.45,268.17,54.13,98688.17,208,五级
北京市,2013-01-15,83.69,121.5,64.45,47.7,1.65,22.27,0.4,-0.62,265.22,73.57,98530.43,111,三级
