province,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
台湾省,2013-01-01,19.3,23.12,6.86,19.11,0.26,48.41,-0.91,-1.23,285.01,79.34,93297.08,28,一级
台湾省,2013-01-02,15.94,19.76,5.95,19.12,0.24,51.88,-0.45,-2.37,288.05,82.18,93411.25,26,一级
台湾省,2013-01-03,15.26,23.6,4.91,11.37,0.27,52.03,-3.23,-6.42,287.7,82.71,93556.41,27,一级
台湾省,2013-01-04,9.05,15.43,4.05,12.05,0.24,54.81,-2.28,-4.54,286.95,82.2,93354.56,28,一级
台湾省,2013-01-05,9.84,16.26,4.61,15.71,0.23,52.21,-0.77,-4.05,287.61,84.06,93111.47,27,一级
台湾省,2013-01-06,11.21,17.97,4.59,15.32,0.24,57.49,-0.43,-3.5,288.45,79.4,93183.81,29,一级
台湾省,2013-01-07,22.69,30.77,5.48,16.74,0.31,54.08,-0.32,-2.67,288.98,84.01,93188.65,33,一级
台湾省,2013-01-08,30.66,39.01,6.83,18.32,0.35,44.88,-0.64,-3.2,288.03,89.03,93171.38,44,一级
台湾省,2013-01-09,26.39,33.44,6.51,14.75,0.32,49.97,-1.03,-4.56,285.93,90.02,93182.48,38,一级
台湾省,2013-01-10,20.45,27.12,5.11,11.68,0.3,52.22,-2.93,-4.28,285.8,82.54,93287.86,30,一级
台湾省,2013-01-11,10.55,15.19,4.06,12.77,0.25,58.29,-3.0,-2.89,287.48,78.79,93358.66,30,一级
台湾省,2013-01-12,9.11,14.55,3.71,13.59,0.23,58.25,-2.69,-4.15,289.06,83.96,93177.67,30,一级
台湾省,2013-01-13,10.59,17.45,4.17,15.25,0.23,54.35,0.55,-4.29,288.59,85.94,92775.83,28,一级
台湾省,2013-01-14,18.55,24.51,5.96,14.36,0.28,55.82,-0.92,-6.88,285.18,57.76,93116.33,28,一级
台湾省,2013-01-15,16.4,20.67,5.96,18.38,0.24,55.49,-1.48,-1.57,284.89,64.79,93446.81,28,一级
台湾省,2013-01-16,22.79,27.51,7.8,21.41,0.26,54.04,-0.63,-3.02,285.34,68.44,93471.27,33,一级
台湾省,2013-01-17,45.17,53.12,8.96,15.05,0.43,51.79,-1.13,-6.01,283.77,78.25,93655.84,63,二级
台湾省,2013-01-18,12.69,17.66,4.63,11.18,0.26,59.81,-2.91,-4.84,282.06,75.4,93784.09,30,一级
台湾省,2013-01-19,10.24,13.49,4.41,15.19,0.23,63.29,-3.09,-1.5,284.87,72.77,93653.21,32,一级
台湾省,2013-01-20,9.51,12.03,4.67,16.81,0.22,63.86,-2.21,-0.32,287.64,71.21,93634.39,32,一级
台湾省,2013-01-21,13.27,16.69,6.13,22.85,0.23,58.07,-0.94,-0.54,288.93,76.88,93542.44,30,一级
台湾省,2013-01-22,47.93,57.95,10.06,28.41,0.45,43.78,-0.66,-2.78,288.24,79.84,93455.21,67,二级
台湾省,2013-01-23,52.99,62.48,10.48,21.38,0.47,43.36,-0.07,-3.49,286.66,84.09,93338.79,73,二级
台湾省,2013-01-24,44.01,50.87,10.04,19.03,0.39,49.37,0.42,-1.99,286.85,82.82,93228.16,62,二级
台湾省,2013-01-25,67.87,76.96,13.45,16.92,0.55,50.96,-1.15,-3.75,285.64,81.71,93260.4,92,二级
台湾省,2013-01-26,30.21,35.29,7.24,16.05,0.33,60.78,-0.13,-2.16,285.87,81.69,93239.04,44,一级
台湾省,2013-01-27,28.76,33.93,8.59,14.77,0.33,57.58,-1.58,-4.42,285.05,78.93,93439.83,42,一级
台湾省,2013-01-28,13.22,16.25,5.03,12.12,0.24,62.1,-2.81,-2.04,284.84,72.79,93559.0,32,一级
台湾省,2013-01-29,13.87,16.82,5.99,19.02,0.23,54.05,0.02,-1.5,286.24,71.12,93582.6,28,一级
