province,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
四川省,2013-01-01,42.18,53.98,15.73,10.74,0.57,70.49,3.56,-0.63,269.82,35.17,75472.85,59,二级
四川省,2013-01-02,47.19,59.19,16.46,11.92,0.56,61.42,2.77,-0.1,273.38,39.06,75571.17,66,二级
四川省,2013-01-03,34.73,41.02,12.13,7.81,0.46,61.43,2.01,1.9,268.83,67.47,75872.6,50,一级
四川省,2013-01-04,35.71,37.74,11.6,7.0,0.48,61.28,4.78,1.4,270.3,58.63,75466.69,51,二级
四川省,2013-01-05,39.36,41.53,12.41,6.34,0.52,60.74,4.11,1.01,271.57,50.53,75356.44,56,二级
四川省,2013-01-06,44.2,47.64,14.05,7.26,0.55,64.31,4.64,1.95,271.16,48.31,75345.48,62,二级
四川省,2013-01-07,45.26,52.74,12.84,6.47,0.55,64.53,3.08,1.11,269.45,55.02,75321.25,63,二级
四川省,2013-01-08,57.2,65.32,13.05,8.33,0.64,61.73,1.44,-0.07,267.95,63.25,75410.65,78,二级
四川省,2013-01-09,57.38,65.64,13.56,8.7,0.6,61.2,1.21,0.77,267.95,59.58,75536.76,78,二级
四川省,2013-01-10,64.14,71.97,18.42,9.72,0.63,58.63,0.82,0.64,268.22,62.31,75451.51,87,二级
四川省,2013-01-11,66.09,76.73,18.0,7.31,0.7,59.38,0.04,-0.57,267.36,63.69,75696.3,89,二级
四川省,2013-01-12,76.57,84.92,19.05,8.25,0.73,64.37,3.02,-1.12,268.81,52.38,75543.91,102,三级
四川省,2013-01-13,85.42,92.33,19.14,8.53,0.75,62.56,3.18,0.21,272.21,39.83,75342.43,114,三级
四川省,2013-01-14,76.72,89.92,19.34,8.36,0.71,58.56,1.59,0.92,272.16,53.46,75376.7,103,三级
四川省,2013-01-15,70.7,80.92,15.8,7.64,0.65,60.42,2.35,-0.0,272.08,53.85,75653.94,95,二级
四川省,2013-01-16,54.72,64.9,13.76,8.14,0.59,60.06,2.82,-0.35,272.82,53.15,75810.54,75,二级
四川省,2013-01-17,70.04,85.26,15.8,10.89,0.7,56.7,1.91,0.31,272.89,53.25,76189.62,94,二级
四川省,2013-01-18,56.67,68.25,15.88,9.77,0.62,57.46,2.78,1.25,275.13,51.53,76044.95,78,二级
四川省,2013-01-19,55.74,68.49,15.8,9.42,0.64,63.55,5.47,1.8,276.43,41.61,75426.94,76,二级
四川省,2013-01-20,46.01,52.9,13.27,6.93,0.54,66.5,5.32,1.26,274.07,48.22,75387.79,64,二级
四川省,2013-01-21,30.04,36.73,8.89,6.5,0.46,67.1,4.16,1.51,271.99,48.41,75655.67,43,一级
四川省,2013-01-22,35.71,47.24,10.42,8.28,0.47,69.36,3.6,-1.02,271.07,40.22,75810.87,51,二级
四川省,2013-01-23,41.41,50.15,12.16,9.21,0.51,70.64,3.11,-0.18,271.6,42.27,75625.56,59,二级
四川省,2013-01-24,38.84,48.01,8.5,8.5,0.46,67.74,0.92,-1.26,270.65,40.81,75807.04,55,二级
四川省,2013-01-25,44.14,59.96,13.11,10.7,0.56,67.11,2.4,0.31,271.36,46.35,75555.02,62,二级
四川省,2013-01-26,36.15,47.34,9.16,8.27,0.45,68.69,1.4,-1.61,270.83,41.89,75694.3,52,二级
四川省,2013-01-27,46.62,63.17,13.82,11.19,0.54,70.43,1.03,1.21,271.48,48.41,75783.25,65,二级
四川省,2013-01-28,48.7,64.62,16.11,11.02,0.57,66.93,3.04,-1.14,272.69,43.74,75580.03,68,二级
四川省,2013-01-29,51.52,62.4,15.45,9.03,0.58,64.0,3.01,1.58,274.78,44.19,75518.85,71,二级
四川省,2013-01-30,46.15,52.55,12.64,7.2,0.51,65.56,2.95,0.81,274.24,52.14,75522.44,64,二级
四川省,2013-01-31,48.33,59.14,12.45,8.34,0.53,65.43,4.22,-0.63,275.14,45.19,75505.01,67,二级
四川省,2013-02-01,53.98,66.43,11.68,9.42,0.62,63.73,2.44,0.75,276.17,45.9,75721.79,74,二级
四川省,2013-02-02,65.45,72.78,13.37,9.58,0.61,64.27,1.96,2.47,275.01,61.45,75765.66,89,二级
四川省,2013-02-03,45.6,52.34,11.0,7.64,0.49,66.95,4.51,0.76,275.72,54.41,75313.45,64,二级
四川省,2013-02-04,45.52,55.4,9.23,7.96,0.53,64.63,3.79,-0.51,275.28,54.24,75426.16,64,二级
四川省,2013-02-05,46.13,54.46,9.05,8.67,0.56,58.33,3.29,-1.31,277.66,40.91,75788.68,64,二级
四川省,2013-02-06,47.43,52.95,10.4,8.16,0.51,60.52,3.65,-0.37,279.19,45.73,75561.22,66,二级
四川省,2013-02-07,41.72,44.69,12.09,7.27,0.5,57.49,3.2,-0.76,277.03,55.86,75524.66,59,二级
四川省,2013-02-08,30.15,33.59,10.71,5.11,0.42,63.69,3.36,0.8,272.13,66.78,75784.88,44,一级
四川省,2013-02-09,28.69,29.28,8.69,4.44,0.4,75.0,4.4,0.48,271.55,57.97,75749.13,41,一级
四川省,2013-02-10,36.86,42.37,11.28,4.78,0.42,79.71,3.83,0.61,274.1,43.65,75501.03,53,二级
四川省,2013-02-11,35.86,38.32,10.61,4.49,0.43,69.09,4.01,-0.12,274.73,48.13,75541.66,52,二级
四川省,2013-02-12,34.93,39.68,10.36,4.27,0.38,63.98,3.61,0.86,273.87,49.31,75817.38,50,一级
四川省,2013-02-13,34.35,40.39,10.72,4.8,0.39,67.73,5.97,1.63,274.96,49.04,75427.02,50,一级
四川省,2013-02-14,35.29,39.8,10.64,4.1,0.41,67.28,5.0,0.02,274.44,54.38,75417.71,51,二级
四川省,2013-02-15,31.74,35.24,10.18,4.57,0.37,67.92,3.55,1.33,274.1,49.68,75657.46,46,一级
四川省,2013-02-16,37.59,42.99,11.67,5.66,0.42,70.65,5.63,2.15,277.07,43.02,75250.54,54,二级
四川省,2013-02-17,40.61,44.22,10.45,4.57,0.41,74.85,6.37,2.31,278.33,45.38,75087.2,58,二级
四川省,2013-02-18,36.53,41.9,12.25,5.39,0.44,70.33,4.89,0.62,274.9,58.17,75119.93,52,二级
四川省,2013-02-19,28.33,31.43,10.22,5.13,0.39,67.96,2.18,0.69,271.94,59.05,75569.99,41,一级
四川省,2013-02-20,34.71,38.0,10.54,5.75,0.45,64.95,1.9,0.77,273.11,57.26,75677.53,50,一级
四川省,2013-02-21,38.81,43.2,11.02,5.85,0.47,66.07,2.3,0.11,272.65,66.34,75827.2,55,二级
四川省,2013-02-22,33.61,37.26,8.87,5.18,0.41,70.51,1.54,-0.16,273.17,54.95,76140.66,49,一级
四川省,2013-02-23,35.67,40.05,11.75,6.39,0.43,70.19,3.39,1.82,276.57,49.43,75910.66,51,二级
四川省,2013-02-24,39.59,44.33,11.71,6.21,0.43,73.55,3.72,0.65,278.33,44.28,75682.4,56,二级
四川省,2013-02-25,42.19,49.57,11.15,6.12,0.44,74.0,2.79,-0.08,278.39,50.33,75617.52,59,二级
四川省,2013-02-26,41.34,48.06,9.86,6.0,0.42,72.36,2.6,-0.46,278.78,46.85,75671.87,58,二级
四川省,2013-02-27,50.86,61.91,12.26,7.29,0.49,70.89,3.36,0.57,280.64,41.58,75515.5,70,二级
四川省,2013-02-28,56.25,66.31,12.58,8.49,0.51,65.89,4.71,-0.13,281.72,40.8,75112.84,77,二级
四川省,2013-03-01,37.57,55.09,8.31,5.72,0.33,63.23,2.67,-0.54,277.86,41.56,75585.96,54,二级
四川省,2013-03-02,31.79,50.58,8.72,4.71,0.32,62.38,1.37,-0.75,275.24,50.29,76219.62,51,二级
四川省,2013-03-03,31.7,44.12,8.03,5.49,0.32,70.38,1.13,-0.02,275.56,43.89,76282.8,46,一级
四川省,2013-03-04,38.08,52.83,11.05,8.33,0.38,76.16,1.56,-0.38,276.56,43.85,76108.73,54,二级
四川省,2013-03-05,37.54,51.75,11.43,8.27,0.38,85.14,1.83,0.78,278.95,32.69,75928.78,54,二级
四川省,2013-03-06,40.42,57.37,10.04,7.61,0.39,78.2,0.13,-3.08,279.49,33.51,75986.86,57,二级
四川省,2013-03-07,32.32,48.2,6.94,9.05,0.34,83.63,0.38,0.58,279.4,35.13,76088.15,49,一级
四川省,2013-03-08,34.37,48.21,10.02,9.58,0.38,92.8,1.58,1.07,281.1,34.58,75699.22,50,一级
四川省,2013-03-09,43.96,58.67,10.61,9.67,0.41,93.3,1.24,-1.3,281.95,33.74,75289.12,62,二级
四川省,2013-03-10,53.68,77.96,8.24,6.47,0.32,80.06,0.41,0.96,280.45,38.77,75519.73,74,二级
四川省,2013-03-11,49.24,87.86,10.04,6.04,0.35,79.84,3.21,1.73,279.97,48.75,75261.21,69,二级
四川省,2013-03-12,33.34,48.45,6.85,4.48,0.3,77.0,1.55,-2.98,278.69,48.75,75337.35,49,一级
四川省,2013-03-13,37.07,66.54,6.75,6.08,0.29,77.8,0.41,0.73,279.09,41.28,75719.49,59,二级
四川省,2013-03-14,42.29,76.48,12.85,7.42,0.35,76.85,1.41,1.85,279.85,46.2,75724.87,64,二级
四川省,2013-03-15,43.9,70.2,12.66,7.14,0.39,74.88,2.94,1.49,281.04,50.16,75584.12,62,二级
四川省,2013-03-16,43.24,62.5,11.59,5.81,0.38,79.72,3.35,-0.02,281.68,51.63,75511.98,61,二级
四川省,2013-03-17,40.09,51.63,11.01,4.98,0.35,76.56,1.82,-1.72,279.96,55.36,75509.99,57,二级
四川省,2013-03-18,33.85,40.53,8.71,5.7,0.34,76.42,0.56,1.18,278.12,64.19,75302.62,49,一级
四川省,2013-03-19,25.37,30.21,7.95,5.03,0.29,81.18,1.65,-1.31,277.46,63.51,75040.23,41,一级
四川省,2013-03-20,27.04,34.3,6.23,5.6,0.3,84.05,0.11,1.4,278.69,53.18,75578.4,43,一级
四川省,2013-03-21,29.19,35.83,10.21,5.65,0.31,86.69,3.26,1.77,280.99,43.41,75129.52,44,一级
四川省,2013-03-22,30.58,36.21,8.84,4.48,0.3,84.17,1.02,-0.89,279.97,58.63,75162.55,44,一级
四川省,2013-03-23,21.42,26.1,7.1,4.07,0.26,86.44,1.47,-1.62,277.77,60.38,75426.28,44,一级
四川省,2013-03-24,24.23,33.46,8.67,5.85,0.29,86.53,2.09,0.48,280.63,42.75,75385.2,44,一级
四川省,2013-03-25,30.96,39.34,11.9,6.14,0.31,75.23,0.73,-1.99,279.84,56.05,75187.14,45,一级
四川省,2013-03-26,30.02,35.09,9.14,4.03,0.29,81.71,-1.13,0.35,277.35,60.37,75582.66,43,一级
四川省,2013-03-27,31.31,40.06,10.77,6.53,0.33,81.66,1.16,1.83,279.15,59.43,75276.23,45,一级
四川省,2013-03-28,31.82,40.01,9.61,5.49,0.32,84.17,0.5,-1.21,280.0,50.25,75481.47,46,一级
四川省,2013-03-29,32.93,42.21,13.1,6.19,0.33,82.23,0.22,1.63,280.21,56.99,75419.11,48,一级
四川省,2013-03-30,36.16,42.92,11.75,5.09,0.34,85.13,-0.8,0.48,279.5,63.29,75481.84,52,二级
四川省,2013-03-31,36.94,44.52,12.89,5.43,0.34,85.03,0.39,2.12,279.5,66.1,75518.17,53,二级
四川省,2013-04-01,34.52,39.51,10.12,4.63,0.32,82.26,-0.49,0.67,279.2,68.55,75609.3,50,一级
四川省,2013-04-02,34.71,39.84,11.32,5.13,0.34,81.01,1.33,1.66,279.51,68.68,75504.75,50,一级
四川省,2013-04-03,33.82,39.43,11.1,5.19,0.32,81.7,2.09,0.4,280.87,61.14,75165.46,49,一级
四川省,2013-04-04,37.74,41.67,11.3,5.81,0.36,78.34,1.5,0.13,281.16,62.23,74833.37,54,二级
四川省,2013-04-05,24.67,26.51,4.82,2.69,0.21,80.62,-1.01,-3.95,274.97,67.09,75384.52,41,一级
四川省,2013-04-06,23.43,27.5,3.97,3.04,0.19,85.23,0.17,1.16,274.51,58.6,75492.74,43,一级
四川省,2013-04-07,27.24,34.58,8.58,5.97,0.25,84.55,2.17,-0.51,277.06,53.79,75133.43,43,一级
四川省,2013-04-08,27.79,34.85,7.38,5.36,0.25,87.63,1.68,-1.19,278.13,48.85,75343.84,44,一级
四川省,2013-04-09,32.46,40.52,7.22,5.6,0.25,77.24,0.26,-1.86,277.23,59.87,75781.8,47,一级
四川省,2013-04-10,30.58,35.35,7.63,6.66,0.27,69.53,0.27,0.74,276.93,74.9,75819.34,44,一级
四川省,2013-04-11,30.07,34.06,8.84,4.97,0.27,73.89,0.35,0.69,277.4,76.54,75783.74,43,一级
四川省,2013-04-12,35.11,37.55,10.01,5.14,0.29,75.92,0.14,0.97,277.29,77.3,75885.08,51,二级
四川省,2013-04-13,29.11,33.66,8.33,4.52,0.27,84.47,1.99,-0.73,278.51,65.38,75785.0,43,一级
四川省,2013-04-14,26.3,32.62,7.87,5.43,0.26,94.13,1.56,2.22,281.3,51.54,75605.59,48,一级
四川省,2013-04-15,31.25,41.38,9.53,6.63,0.31,94.28,2.6,-0.06,282.28,55.67,75094.35,48,一级
四川省,2013-04-16,27.9,33.14,6.06,4.24,0.24,98.17,0.73,-0.6,282.46,50.43,75128.76,50,一级
四川省,2013-04-17,31.78,41.08,8.68,5.8,0.29,102.82,1.25,2.28,283.49,51.32,74964.05,53,二级
四川省,2013-04-18,34.64,45.56,9.87,6.13,0.33,100.06,1.31,2.63,284.77,52.42,74903.52,51,二级
四川省,2013-04-19,39.76,52.75,10.87,6.89,0.32,80.24,0.32,-1.31,282.41,60.95,75072.33,56,二级
