province,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
安徽省,2013-01-01,61.87,96.99,35.77,33.6,1.33,27.52,3.26,-0.72,274.29,62.31,101014.31,84,二级
安徽省,2013-01-02,54.54,81.92,29.36,27.55,1.28,31.59,-3.53,-7.85,270.07,62.97,101974.87,75,二级
安徽省,2013-01-03,42.81,57.25,37.04,22.72,1.25,37.71,-1.0,-6.74,266.85,56.79,102578.98,60,二级
安徽省,2013-01-04,63.61,75.78,28.77,28.49,1.22,30.37,-1.8,-3.33,268.46,60.06,101906.3,86,二级
安徽省,2013-01-05,78.25,84.4,29.09,31.02,1.42,31.31,-1.32,-2.68,270.53,58.87,101422.11,105,三级
安徽省,2013-01-06,102.93,122.24,53.52,41.8,1.68,28.1,-1.39,-2.5,271.57,57.03,101393.22,135,三级
安徽省,2013-01-07,120.47,137.44,52.29,44.78,1.7,25.79,-0.99,-0.62,272.97,58.24,101180.38,158,四级
安徽省,2013-01-08,155.12,180.38,63.4,49.23,2.18,28.38,-1.65,-2.73,273.71,55.67,101314.22,206,五级
安徽省,2013-01-09,173.81,193.27,69.47,53.9,1.98,22.87,-2.29,-4.28,273.28,63.0,101599.89,224,五级
安徽省,2013-01-10,121.12,135.95,34.36,42.19,1.51,24.26,-4.01,0.53,274.33,66.26,101578.3,159,四级
安徽省,2013-01-11,116.71,141.16,37.4,47.33,1.54,23.9,-0.73,2.01,276.43,61.73,101326.62,153,四级
安徽省,2013-01-12,171.42,207.17,44.22,52.26,1.99,29.91,-1.67,-0.97,277.2,61.98,101189.33,222,五级
安徽省,2013-01-13,147.94,167.69,40.38,52.89,1.93,27.66,-2.36,-0.18,277.97,75.19,100770.09,198,四级
安徽省,2013-01-14,124.04,145.7,30.64,49.43,2.12,33.01,-1.83,-1.6,277.25,77.52,101153.64,163,四级
安徽省,2013-01-15,124.73,138.47,30.32,35.54,1.69,35.22,-1.3,0.22,277.96,71.66,101118.88,164,四级
安徽省,2013-01-16,170.93,209.36,45.39,38.35,2.27,35.9,-1.08,-3.75,276.41,70.16,101448.75,221,五级
安徽省,2013-01-17,136.44,163.37,35.35,36.98,1.75,28.5,-2.61,-5.32,273.44,61.78,102245.96,181,四级
安徽省,2013-01-18,89.71,111.22,28.68,41.59,1.45,35.56,-1.68,0.49,273.41,47.2,101994.53,119,三级
安徽省,2013-01-19,86.15,108.15,29.11,42.83,1.47,37.05,-3.6,2.35,277.24,47.71,101308.37,114,三级
安徽省,2013-01-20,103.9,128.84,23.14,41.17,1.59,24.2,-2.31,0.45,279.01,79.26,101009.46,137,三级
安徽省,2013-01-21,121.66,117.58,40.52,41.06,2.08,16.18,2.7,-4.22,276.19,85.48,101210.95,160,四级
安徽省,2013-01-22,133.78,142.27,42.17,37.45,2.15,23.6,-0.39,-3.67,274.56,79.73,101433.64,177,四级
