province,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
山东省,2013-01-01,90.37,173.41,72.96,49.59,1.78,22.18,4.51,-4.28,267.18,61.46,101247.48,120,三级
山东省,2013-01-02,29.04,53.52,36.76,25.64,1.3,41.44,3.53,-6.09,262.27,53.65,102609.6,52,二级
山东省,2013-01-03,49.88,76.29,60.66,39.21,1.52,35.75,2.66,-4.49,262.71,57.16,103076.37,69,二级
山东省,2013-01-04,74.45,113.83,90.64,56.23,1.7,26.83,1.34,-0.43,263.74,55.32,102351.96,100,二级
山东省,2013-01-05,122.64,171.96,137.21,72.68,1.97,20.25,2.18,-1.23,265.47,50.63,101822.12,161,四级
山东省,2013-01-06,159.79,227.74,127.88,80.45,2.55,22.46,0.63,-1.43,266.85,60.29,101803.74,210,五级
山东省,2013-01-07,197.09,266.21,152.11,90.49,2.66,19.11,0.69,-0.14,268.68,59.82,101546.87,248,五级
山东省,2013-01-08,199.48,282.8,139.89,95.13,2.94,18.16,0.06,-4.91,268.34,73.18,101846.08,250,五级
山东省,2013-01-09,94.62,137.56,76.07,54.72,1.82,24.83,1.63,-3.37,266.6,65.93,102086.31,125,三级
山东省,2013-01-10,141.0,211.94,106.77,67.68,2.28,23.85,0.3,3.24,269.1,66.8,101912.34,188,四级
山东省,2013-01-11,170.23,244.64,81.65,63.25,2.37,25.71,2.85,4.01,272.45,73.62,101532.28,221,五级
山东省,2013-01-12,213.4,306.45,98.72,79.57,2.98,21.31,0.47,2.36,272.32,63.1,101503.36,264,五级
山东省,2013-01-13,207.69,297.26,72.8,75.4,2.83,21.89,-0.5,1.65,273.03,78.44,101261.31,258,五级
山东省,2013-01-14,255.63,382.13,109.91,96.47,3.85,15.07,-1.25,-2.76,270.84,84.43,101610.74,306,六级
山东省,2013-01-15,192.07,310.31,103.76,80.49,2.85,14.38,0.1,0.63,270.62,84.92,101544.74,243,五级
山东省,2013-01-16,149.88,228.15,123.4,64.53,2.52,19.24,-0.62,-5.44,269.78,79.35,102032.0,200,四级
