province,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
山西省,2013-01-01,30.79,43.82,30.71,15.08,2.07,37.88,4.86,-5.01,259.01,51.46,88647.44,52,二级
山西省,2013-01-02,29.91,40.0,32.86,17.22,1.59,37.55,2.47,-5.7,254.44,46.26,89709.08,43,一级
山西省,2013-01-03,38.58,52.41,48.17,20.98,1.26,37.12,1.11,-3.23,255.96,40.4,90003.64,55,二级
山西省,2013-01-04,71.32,91.13,74.36,26.67,1.48,33.55,1.67,-0.89,259.76,35.33,89242.57,96,二级
山西省,2013-01-05,83.03,111.12,86.34,31.3,1.76,28.32,1.67,-2.71,261.9,33.47,88982.38,111,三级
山西省,2013-01-06,92.8,118.12,85.18,31.94,1.8,26.69,2.5,-1.05,263.67,30.22,88943.12,123,三级
山西省,2013-01-07,124.83,145.31,89.48,33.35,1.84,23.73,3.32,-1.7,265.62,37.98,88811.14,165,四级
山西省,2013-01-08,67.56,85.41,56.09,26.93,1.61,30.33,2.97,-3.62,263.08,48.1,89174.09,91,二级
山西省,2013-01-09,55.05,71.29,54.4,23.6,1.37,32.2,2.26,-0.85,262.77,44.19,89167.21,76,二级
山西省,2013-01-10,130.94,169.08,96.1,34.2,2.1,24.8,3.09,2.49,267.17,45.5,88888.83,173,四级
山西省,2013-01-11,93.76,108.43,63.66,25.86,2.42,34.07,6.36,-2.48,266.99,48.47,88952.88,124,三级
山西省,2013-01-12,79.53,106.95,78.0,28.06,1.8,32.89,3.46,2.53,269.87,36.62,88735.33,106,三级
山西省,2013-01-13,111.98,146.65,89.95,35.64,1.79,25.89,1.21,-0.4,270.15,40.0,88644.65,147,三级
山西省,2013-01-14,124.2,169.07,89.92,40.35,2.27,29.34,1.22,1.16,270.99,31.07,88922.71,164,四级
山西省,2013-01-15,68.89,95.32,42.63,24.35,2.02,29.18,4.9,-2.05,268.1,51.65,88956.56,93,二级
山西省,2013-01-16,75.68,110.23,56.71,27.53,1.65,27.72,1.46,-2.9,267.03,55.82,89386.25,101,三级
山西省,2013-01-17,65.68,89.08,53.97,26.32,1.47,33.16,0.8,-0.87,266.08,53.02,89888.83,89,二级
山西省,2013-01-18,108.55,144.39,76.93,32.05,1.68,27.91,2.92,1.4,269.77,49.08,89296.03,142,三级
山西省,2013-01-19,142.13,186.21,78.21,36.93,2.14,24.92,-3.5,1.61,269.77,58.22,88860.6,189,四级
山西省,2013-01-20,156.19,179.38,67.53,39.0,2.03,21.59,-0.88,1.36,267.38,88.77,88952.06,207,五级
山西省,2013-01-21,150.55,165.36,74.23,35.01,2.13,22.06,1.22,-2.62,267.83,74.78,89147.8,201,五级
山西省,2013-01-22,141.87,174.56,89.83,35.92,1.94,22.49,1.75,0.56,267.06,69.96,89097.72,189,四级
山西省,2013-01-23,119.33,150.48,76.39,33.9,1.89,29.1,5.96,-1.56,268.2,62.15,88551.89,157,四级
山西省,2013-01-24,36.59,42.25,34.15,17.96,1.35,40.57,5.85,-4.46,264.61,52.88,88953.27,52,二级
山西省,2013-01-25,41.82,59.09,50.18,20.66,1.0,34.76,5.29,-1.43,267.6,46.4,88701.02,59,二级
山西省,2013-01-26,40.67,59.49,45.23,23.05,0.89,30.06,2.55,-2.93,268.36,50.45,89004.01,58,二级
山西省,2013-01-27,53.84,78.43,54.46,24.51,1.08,30.68,3.46,0.21,271.03,43.55,89126.49,74,二级
山西省,2013-01-28,70.54,105.91,68.41,30.0,1.37,27.69,3.81,-0.39,273.31,40.11,88752.77,95,二级
山西省,2013-01-29,77.03,105.56,70.44,30.17,1.44,29.62,1.92,0.46,273.85,39.46,88819.01,103,三级
