province,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
广西壮族自治区,2013-01-01,47.56,56.79,17.55,13.91,0.52,48.94,-2.06,-1.9,280.88,41.07,97537.84,66,二级
广西壮族自治区,2013-01-02,65.64,75.88,18.23,14.55,0.62,45.92,-3.41,-0.82,283.95,55.21,97465.24,89,二级
广西壮族自治区,2013-01-03,54.42,60.75,19.5,13.26,0.69,36.72,-4.64,-8.09,278.53,72.14,98141.43,75,二级
广西壮族自治区,2013-01-04,49.49,55.05,15.34,9.96,0.61,40.71,-3.16,-4.85,275.94,72.48,97852.78,69,二级
广西壮族自治区,2013-01-05,52.77,59.92,13.54,9.25,0.66,43.47,-2.66,-3.04,277.73,73.13,97488.06,73,二级
广西壮族自治区,2013-01-06,61.58,71.02,15.95,8.3,0.71,49.32,-2.74,-4.39,278.25,66.44,97610.0,84,二级
广西壮族自治区,2013-01-07,71.96,82.35,16.82,8.87,0.74,55.51,-2.47,-2.96,279.18,65.1,97474.3,97,二级
广西壮族自治区,2013-01-08,77.69,86.93,17.13,8.94,0.76,54.15,-2.7,-3.99,280.51,62.21,97472.99,104,三级
广西壮族自治区,2013-01-09,101.21,118.23,33.13,10.12,1.07,53.87,-3.56,-6.54,279.71,57.11,97701.26,133,三级
广西壮族自治区,2013-01-10,138.01,154.66,31.47,15.07,1.1,51.27,-3.62,-4.29,279.84,54.19,97669.38,183,四级
广西壮族自治区,2013-01-11,136.27,142.91,22.56,13.43,1.0,46.41,-2.47,-4.71,280.1,62.6,97744.43,181,四级
广西壮族自治区,2013-01-12,104.55,113.78,22.34,10.05,0.88,47.67,-1.61,-4.29,281.3,64.6,97598.21,137,三级
广西壮族自治区,2013-01-13,99.71,111.47,19.96,10.32,0.88,54.38,-1.0,-2.01,283.0,64.63,97248.89,131,三级
广西壮族自治区,2013-01-14,102.4,119.08,21.02,15.58,1.02,51.32,-3.3,-1.11,284.37,58.12,97384.56,135,三级
广西壮族自治区,2013-01-15,106.02,127.07,20.44,17.28,1.12,41.68,-2.49,-1.67,283.72,75.41,97621.46,139,三级
广西壮族自治区,2013-01-16,91.37,103.56,18.15,13.03,0.96,42.18,-2.34,-2.03,284.58,80.87,97698.63,121,三级
广西壮族自治区,2013-01-17,101.36,117.84,29.25,11.91,1.18,41.86,-4.33,-6.1,283.4,74.56,98125.61,133,三级
广西壮族自治区,2013-01-18,106.51,125.67,23.37,13.67,1.01,49.25,-3.69,-3.63,281.91,62.42,98185.24,140,三级
广西壮族自治区,2013-01-19,91.01,104.9,20.28,14.3,0.79,51.28,-2.14,2.34,283.73,70.93,97609.9,121,三级
广西壮族自治区,2013-01-20,50.97,59.5,11.98,10.5,0.54,58.83,-0.49,6.17,288.84,82.46,97338.48,70,二级
广西壮族自治区,2013-01-21,55.21,66.07,12.95,12.14,0.65,48.76,-1.5,-0.28,287.77,87.01,97533.24,76,二级
广西壮族自治区,2013-01-22,96.38,111.14,17.16,13.9,0.96,41.24,-3.14,-3.49,284.52,82.3,97654.37,127,三级
广西壮族自治区,2013-01-23,97.98,112.31,20.24,10.71,0.97,50.09,-2.12,-2.22,284.52,74.63,97546.61,129,三级
广西壮族自治区,2013-01-24,108.24,119.55,23.77,11.99,1.0,49.84,-1.61,-3.06,285.08,74.61,97518.99,142,三级
广西壮族自治区,2013-01-25,76.95,90.3,22.46,10.97,0.91,48.39,-2.81,-3.38,283.6,61.96,97581.21,103,三级
广西壮族自治区,2013-01-26,84.72,88.79,19.17,10.31,0.81,50.26,-1.98,-2.5,285.18,70.74,97463.43,113,三级
广西壮族自治区,2013-01-27,76.95,86.89,21.46,11.28,0.77,52.86,-4.25,-4.2,285.87,54.57,97765.56,103,三级
广西壮族自治区,2013-01-28,84.07,93.38,19.62,15.44,0.79,48.36,-2.88,0.4,285.49,59.82,97622.27,112,三级
广西壮族自治区,2013-01-29,89.05,97.64,18.51,15.77,0.77,52.08,-1.91,1.63,287.49,82.44,97543.57,118,三级
广西壮族自治区,2013-01-30,59.06,65.23,14.98,13.17,0.59,50.48,-1.96,4.23,289.33,87.91,97528.04,81,二级
广西壮族自治区,2013-01-31,31.5,35.66,7.89,8.75,0.4,59.68,-0.89,6.8,290.94,85.25,97416.03,46,一级
广西壮族自治区,2013-02-01,28.54,34.62,7.26,7.74,0.38,63.73,-0.54,4.42,291.61,81.89,97447.39,41,一级
广西壮族自治区,2013-02-02,53.8,63.33,12.62,10.55,0.55,61.4,-2.3,-0.43,290.27,84.33,97596.61,74,二级
广西壮族自治区,2013-02-03,57.9,69.44,14.44,10.41,0.6,61.46,-0.74,2.88,291.53,80.35,97330.91,79,二级
广西壮族自治区,2013-02-04,44.12,50.51,9.36,10.75,0.56,49.94,0.34,5.08,292.24,85.91,97290.55,62,二级
广西壮族自治区,2013-02-05,33.09,39.61,8.34,8.57,0.47,54.56,1.39,4.67,293.06,79.53,97257.49,48,一级
广西壮族自治区,2013-02-06,47.64,54.96,10.55,8.16,0.52,54.47,-1.15,3.56,291.74,84.66,97026.85,66,二级
广西壮族自治区,2013-02-07,46.37,53.14,12.56,8.94,0.51,47.42,-1.93,1.46,290.42,84.1,96830.6,65,二级
广西壮族自治区,2013-02-08,53.52,61.27,17.82,12.49,0.81,33.74,-3.97,-8.37,279.29,81.01,97715.66,74,二级
广西壮族自治区,2013-02-09,50.53,58.96,13.33,8.09,0.64,49.57,-2.27,-4.29,278.35,73.17,97892.97,70,二级
广西壮族自治区,2013-02-10,65.87,73.88,12.84,8.02,0.65,54.57,-1.43,0.55,282.52,70.95,97504.84,89,二级
广西壮族自治区,2013-02-11,56.05,62.89,13.71,10.97,0.71,44.14,-2.21,0.25,284.16,85.8,97382.55,77,二级
广西壮族自治区,2013-02-12,67.34,77.6,17.4,9.96,0.79,43.15,-2.98,-5.14,282.53,81.5,97757.25,91,二级
广西壮族自治区,2013-02-13,71.85,83.28,16.67,7.74,0.78,57.56,-1.95,-1.16,282.71,70.82,97515.99,97,二级
广西壮族自治区,2013-02-14,70.57,80.97,15.66,9.61,0.73,59.27,-0.73,1.57,286.27,81.34,97185.19,95,二级
广西壮族自治区,2013-02-15,65.97,76.83,16.95,8.0,0.8,56.89,-2.67,-3.97,286.04,72.59,97454.61,89,二级
广西壮族自治区,2013-02-16,65.13,75.35,16.57,8.65,0.8,57.52,-2.34,1.08,285.87,68.2,97256.75,88,二级
广西壮族自治区,2013-02-17,50.62,57.82,10.41,8.6,0.65,57.35,0.25,6.34,290.86,84.51,96818.56,70,二级
广西壮族自治区,2013-02-18,30.93,37.33,6.33,5.67,0.41,64.76,1.12,6.94,293.45,82.34,96657.21,45,一级
广西壮族自治区,2013-02-19,62.31,73.35,18.26,11.55,0.78,41.96,-2.83,-5.33,284.62,79.71,97261.65,85,二级
广西壮族自治区,2013-02-20,57.78,67.12,14.43,8.61,0.68,46.33,-3.05,-4.43,281.65,76.31,97635.75,79,二级
广西壮族自治区,2013-02-21,57.05,65.33,12.67,8.54,0.67,43.76,-2.28,-3.72,282.75,81.9,97692.77,78,二级
广西壮族自治区,2013-02-22,54.11,64.76,16.78,6.77,0.65,54.21,-2.77,-5.4,284.96,67.56,97885.29,74,二级
广西壮族自治区,2013-02-23,66.16,80.93,18.63,8.62,0.7,63.13,-3.3,-2.74,286.36,57.71,97801.21,89,二级
广西壮族自治区,2013-02-24,69.78,78.91,15.79,9.77,0.67,72.24,-1.75,3.24,289.8,66.18,97444.05,94,二级
广西壮族自治区,2013-02-25,55.41,60.91,11.94,10.36,0.57,60.25,-1.06,4.27,291.24,85.67,97266.75,76,二级
广西壮族自治区,2013-02-26,45.61,53.52,9.63,8.9,0.54,58.66,0.15,3.99,293.25,85.29,97062.02,64,二级
广西壮族自治区,2013-02-27,56.22,65.93,12.48,8.75,0.6,54.72,-1.84,0.9,292.12,84.98,96939.5,77,二级
广西壮族自治区,2013-02-28,35.12,41.79,8.11,6.59,0.43,54.92,0.5,6.83,293.99,83.2,96536.77,51,二级
广西壮族自治区,2013-03-01,38.95,45.13,12.83,7.34,0.46,54.88,-0.42,0.77,292.87,78.86,96809.29,55,二级
广西壮族自治区,2013-03-02,48.02,55.86,17.35,8.22,0.62,50.9,-3.86,-8.67,282.57,70.7,97870.04,67,二级
广西壮族自治区,2013-03-03,45.18,53.79,16.1,7.18,0.5,59.15,-3.02,-6.04,284.07,53.35,98057.96,63,二级
广西壮族自治区,2013-03-04,50.19,62.91,14.69,11.05,0.53,59.62,-3.66,-3.08,286.98,37.46,97910.06,69,二级
广西壮族自治区,2013-03-05,58.63,73.58,16.45,14.3,0.58,68.62,-2.85,0.08,289.29,36.42,97766.36,80,二级
广西壮族自治区,2013-03-06,55.53,67.38,16.86,12.66,0.53,83.65,-1.02,3.18,291.45,47.16,97529.47,76,二级
广西壮族自治区,2013-03-07,54.87,64.0,16.56,9.09,0.5,87.97,-0.07,0.78,292.98,58.72,97501.17,75,二级
广西壮族自治区,2013-03-08,63.4,74.87,15.52,9.16,0.61,92.73,0.66,2.87,294.47,60.41,97203.12,86,二级
广西壮族自治区,2013-03-09,43.43,50.7,10.15,7.34,0.47,84.45,1.8,6.64,294.78,60.71,96829.53,61,二级
广西壮族自治区,2013-03-10,41.96,49.75,9.64,7.43,0.45,82.89,-0.29,3.77,294.54,65.42,96892.63,59,二级
广西壮族自治区,2013-03-11,42.55,51.12,10.79,7.86,0.47,81.89,-1.93,3.41,294.55,64.36,97028.85,60,二级
广西壮族自治区,2013-03-12,30.63,37.35,6.74,5.59,0.36,80.23,0.43,7.34,294.97,69.34,96800.22,44,一级
广西壮族自治区,2013-03-13,44.16,51.8,13.15,7.59,0.48,70.65,-0.43,0.03,293.51,72.7,96984.03,62,二级
广西壮族自治区,2013-03-14,71.16,86.75,21.37,8.44,0.65,69.06,-4.49,-2.91,290.25,64.36,97473.53,96,二级
广西壮族自治区,2013-03-15,74.83,87.1,16.83,11.04,0.68,62.89,-2.69,3.12,291.7,74.34,97429.42,100,二级
广西壮族自治区,2013-03-16,37.68,45.96,7.45,6.28,0.44,74.86,-0.04,8.13,294.0,79.01,97131.33,54,二级
广西壮族自治区,2013-03-17,32.31,38.48,7.77,5.45,0.44,77.25,1.02,6.12,294.92,76.33,96670.07,47,一级
广西壮族自治区,2013-03-18,59.44,68.01,16.93,8.48,0.63,61.12,-2.8,-2.01,291.96,76.75,96673.25,81,二级
广西壮族自治区,2013-03-19,50.32,61.72,11.43,7.85,0.59,68.47,0.26,4.71,295.07,78.05,96389.52,70,二级
广西壮族自治区,2013-03-20,42.08,49.76,13.4,7.47,0.51,75.17,-1.11,-0.03,295.9,72.41,96689.02,59,二级
广西壮族自治区,2013-03-21,54.73,64.19,17.39,8.15,0.57,73.24,-3.06,1.07,293.93,72.97,96765.75,75,二级
广西壮族自治区,2013-03-22,28.43,33.21,6.56,6.11,0.39,66.98,1.55,7.28,296.55,76.12,96525.03,41,一级
广西壮族自治区,2013-03-23,31.1,37.19,7.97,7.2,0.44,69.85,1.86,5.37,296.63,73.95,96517.48,45,一级
广西壮族自治区,2013-03-24,44.62,51.02,12.34,6.64,0.49,76.68,-1.19,-0.16,295.49,72.77,96577.82,63,二级
广西壮族自治区,2013-03-25,53.17,61.48,15.43,7.98,0.56,72.87,-4.21,3.33,294.61,76.13,96468.84,73,二级
广西壮族自治区,2013-03-26,36.18,42.89,13.97,7.0,0.49,59.62,-1.77,-1.75,292.5,79.38,96666.35,52,二级
广西壮族自治区,2013-03-27,47.91,57.45,17.17,7.52,0.59,72.1,-3.02,-1.35,290.49,68.01,96899.1,67,二级
广西壮族自治区,2013-03-28,50.02,56.83,13.89,8.86,0.57,62.71,-1.49,1.64,293.78,81.51,96681.76,69,二级
广西壮族自治区,2013-03-29,52.38,63.55,16.19,7.99,0.59,72.4,-3.44,-2.81,292.72,72.25,96849.87,72,二级
广西壮族自治区,2013-03-30,53.37,60.86,15.36,10.45,0.58,59.65,-3.36,-0.69,292.64,83.34,96719.85,73,二级
广西壮族自治区,2013-03-31,50.54,60.17,14.44,8.12,0.53,64.58,-3.71,-2.39,291.77,78.16,96985.07,70,二级
广西壮族自治区,2013-04-01,51.51,58.49,13.82,10.26,0.59,60.15,-2.18,1.69,293.54,83.16,96949.82,71,二级
广西壮族自治区,2013-04-02,47.54,53.27,12.08,7.75,0.54,64.93,-3.75,-0.41,293.78,85.13,96913.48,66,二级
广西壮族自治区,2013-04-03,38.67,43.58,9.41,8.49,0.46,56.5,-1.38,4.12,295.29,83.07,96443.23,55,二级
广西壮族自治区,2013-04-04,26.52,30.9,6.56,6.39,0.34,64.08,1.48,6.75,297.43,77.14,95916.0,38,一级
广西壮族自治区,2013-04-05,35.87,41.5,12.58,7.75,0.42,68.62,3.05,-1.29,296.7,66.4,95987.72,52,二级
广西壮族自治区,2013-04-06,38.23,43.07,13.15,5.79,0.34,66.17,-4.16,-9.78,287.39,57.77,96983.69,55,二级
广西壮族自治区,2013-04-07,49.63,65.52,13.16,9.1,0.37,68.5,-3.69,-0.31,288.36,47.36,96832.91,69,二级
广西壮族自治区,2013-04-08,70.01,79.87,14.36,11.79,0.51,71.88,-1.81,2.74,291.13,69.5,96713.96,94,二级
广西壮族自治区,2013-04-09,72.02,79.13,15.63,10.78,0.57,64.31,-3.94,-1.87,291.5,82.19,97037.11,97,二级
广西壮族自治区,2013-04-10,61.62,68.45,15.53,8.63,0.47,60.13,-4.42,-5.3,288.14,74.85,97397.48,84,二级
广西壮族自治区,2013-04-11,52.24,57.6,12.32,8.97,0.45,53.2,-3.52,-3.74,286.9,80.35,97393.74,72,二级
广西壮族自治区,2013-04-12,42.24,49.13,10.45,7.77,0.41,67.11,-3.17,-2.81,289.81,64.99,97481.9,60,二级
