province,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
江西省,2013-01-01,48.23,59.17,20.71,15.66,0.56,45.33,-0.65,-1.03,276.81,49.89,99476.31,67,二级
江西省,2013-01-02,68.78,86.43,24.18,23.95,0.86,34.84,-3.22,-5.17,278.15,64.57,99711.85,93,二级
江西省,2013-01-03,39.63,50.19,15.6,17.11,0.65,38.44,-3.21,-8.05,273.12,70.17,100426.98,56,二级
江西省,2013-01-04,53.47,58.44,18.39,21.14,0.82,30.36,-2.13,-4.76,271.72,82.17,100021.05,74,二级
江西省,2013-01-05,66.03,70.84,20.3,23.37,0.86,29.79,-1.44,-3.96,272.69,85.09,99636.79,89,二级
江西省,2013-01-06,78.37,82.77,24.18,26.79,0.95,31.29,-1.15,-3.8,273.46,87.63,99659.07,105,三级
江西省,2013-01-07,91.32,97.51,27.2,24.19,1.0,34.82,-0.84,-3.09,274.61,85.63,99527.11,121,三级
江西省,2013-01-08,112.86,121.76,33.16,28.82,1.16,33.75,-1.31,-4.27,275.34,79.27,99563.65,148,三级
江西省,2013-01-09,133.3,147.42,46.42,44.82,1.32,40.27,-2.49,-5.48,275.5,68.33,99752.2,177,四级
江西省,2013-01-10,114.78,123.52,29.1,33.24,1.11,39.6,-3.43,-4.17,276.44,72.11,99731.01,150,三级
江西省,2013-01-11,83.39,86.5,19.18,24.03,0.76,32.32,-1.61,-2.09,277.49,81.75,99698.85,111,三级
江西省,2013-01-12,83.11,88.25,20.85,19.21,0.84,36.14,-1.53,-2.88,278.79,81.44,99511.02,111,三级
江西省,2013-01-13,77.83,86.3,19.54,15.99,0.86,42.59,-0.82,-2.53,280.01,81.83,99136.44,104,三级
江西省,2013-01-14,69.78,81.68,17.99,17.91,0.95,42.54,-2.84,-3.1,279.96,76.77,99441.0,94,二级
江西省,2013-01-15,70.97,78.93,19.72,19.23,0.81,36.37,-0.65,-0.5,280.42,75.31,99539.9,95,二级
江西省,2013-01-16,98.12,109.11,27.87,20.96,1.04,38.54,-0.54,-2.98,280.39,78.04,99708.06,129,三级
江西省,2013-01-17,141.83,160.03,33.4,28.48,1.31,39.47,-3.3,-6.26,278.21,67.47,100268.63,189,四级
江西省,2013-01-18,69.01,76.28,17.71,18.88,0.75,40.83,-3.02,-3.61,276.74,56.23,100280.76,93,二级
江西省,2013-01-19,57.89,65.02,15.05,17.05,0.63,49.8,-2.64,0.93,280.37,53.75,99649.52,79,二级
江西省,2013-01-20,44.04,52.96,11.44,15.39,0.57,51.98,-1.31,3.4,285.64,71.3,99359.09,62,二级
江西省,2013-01-21,71.63,78.04,21.7,24.59,0.99,32.04,0.34,-2.42,282.67,90.04,99551.0,96,二级
江西省,2013-01-22,116.15,120.31,32.42,23.95,1.31,31.05,-0.76,-4.05,279.49,77.74,99729.29,152,四级
江西省,2013-01-23,119.27,131.51,28.68,16.86,1.17,40.3,-0.69,-1.86,279.62,71.04,99504.33,157,四级
江西省,2013-01-24,124.58,138.28,30.12,18.1,1.19,40.78,0.45,-2.36,280.16,78.56,99421.69,164,四级
江西省,2013-01-25,113.65,128.65,27.23,18.99,1.08,45.99,-1.64,-2.79,279.73,67.05,99531.28,149,三级
江西省,2013-01-26,87.74,105.5,19.41,14.22,0.95,46.78,-1.01,-2.42,281.53,60.1,99396.32,116,三级
