province,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
浙江省,2013-01-01,48.4,71.65,26.3,37.14,1.01,35.94,1.84,-0.2,277.1,43.26,98849.6,67,二级
浙江省,2013-01-02,66.13,96.88,29.47,42.55,1.17,26.21,-1.85,-5.93,276.93,74.46,99264.36,89,二级
浙江省,2013-01-03,36.16,47.81,22.74,27.12,0.97,39.28,-0.39,-7.5,272.34,76.04,99840.3,52,二级
浙江省,2013-01-04,56.7,57.6,30.93,43.12,1.15,20.99,-0.64,-5.26,272.23,89.7,99386.13,78,二级
浙江省,2013-01-05,67.08,66.05,34.43,48.23,1.29,19.74,0.25,-4.28,272.62,90.79,98981.99,91,二级
浙江省,2013-01-06,60.86,62.96,35.13,54.22,1.35,20.16,0.15,-4.0,273.33,91.98,98990.99,83,二级
浙江省,2013-01-07,75.74,81.2,42.36,58.29,1.49,16.52,0.91,-3.01,273.85,90.9,98876.64,101,三级
浙江省,2013-01-08,107.02,116.77,53.55,61.84,1.56,22.22,0.75,-4.3,274.11,81.34,98917.35,141,三级
浙江省,2013-01-09,120.4,133.03,56.25,62.02,1.5,25.81,-0.78,-5.85,274.7,77.48,99133.15,158,四级
浙江省,2013-01-10,95.82,113.4,38.39,50.91,1.25,31.19,-3.19,-4.43,274.97,73.78,99304.59,127,三级
浙江省,2013-01-11,97.19,118.21,30.71,51.93,1.2,26.35,-2.23,-1.25,276.95,78.05,99159.91,128,三级
浙江省,2013-01-12,107.73,134.67,42.28,62.64,1.42,25.85,-0.81,-2.46,278.29,76.84,98976.42,141,三级
浙江省,2013-01-13,74.66,79.65,26.14,60.14,1.3,25.19,-0.59,-3.42,278.58,94.11,98488.57,100,二级
浙江省,2013-01-14,72.01,84.41,27.86,45.56,1.28,41.12,0.4,-4.34,276.81,83.87,98885.76,97,二级
浙江省,2013-01-15,110.45,130.59,27.88,51.45,1.34,34.25,-0.88,0.1,278.79,71.64,98971.49,145,三级
浙江省,2013-01-16,132.68,153.76,34.81,51.24,1.46,35.59,0.89,-3.25,278.8,73.68,99076.05,176,四级
浙江省,2013-01-17,117.81,147.36,36.68,42.21,1.39,39.56,-0.78,-6.74,274.8,70.91,99711.82,155,四级
浙江省,2013-01-18,69.33,87.47,28.28,46.04,1.1,44.7,-1.41,-3.37,273.47,60.16,99747.53,93,二级
浙江省,2013-01-19,75.52,95.73,23.06,49.42,1.19,39.85,-2.79,1.39,277.9,70.23,99274.09,101,三级
浙江省,2013-01-20,60.16,89.04,22.11,45.97,1.38,39.74,-2.19,3.01,284.46,84.19,98952.17,82,二级
浙江省,2013-01-21,87.53,111.83,27.66,52.03,1.55,28.94,2.55,-0.67,283.15,88.81,98850.64,116,三级
浙江省,2013-01-22,69.65,78.71,32.19,53.65,1.61,18.77,1.3,-4.02,277.4,83.04,99047.04,94,二级
浙江省,2013-01-23,87.82,102.46,30.36,44.17,1.43,35.89,1.63,-2.01,277.46,72.88,98851.0,117,三级
浙江省,2013-01-24,115.28,139.26,35.75,46.68,1.62,34.34,2.32,-1.07,279.23,74.72,98685.25,151,四级
浙江省,2013-01-25,125.75,154.66,33.04,45.73,1.43,48.92,-0.16,-2.13,277.37,64.04,98928.72,166,四级
浙江省,2013-01-26,105.09,132.87,27.82,48.56,1.23,49.08,1.04,-1.59,279.86,55.13,98766.71,138,三级
浙江省,2013-01-27,107.53,132.0,30.5,48.31,1.08,51.63,-1.85,-3.22,278.16,68.42,99228.5,141,三级
浙江省,2013-01-28,84.94,106.63,20.17,44.26,0.95,50.22,-2.46,2.06,279.48,63.84,99169.32,113,三级
浙江省,2013-01-29,61.57,81.19,15.61,43.15,0.9,47.5,0.11,1.54,282.81,64.87,98962.37,84,二级
浙江省,2013-01-30,73.85,93.64,15.86,39.95,0.88,56.72,-2.68,1.63,283.5,64.18,99131.7,99,二级
浙江省,2013-01-31,63.98,82.06,14.33,39.37,0.85,57.19,-0.78,4.59,285.85,71.32,98866.85,87,二级
浙江省,2013-02-01,64.75,78.75,17.26,39.49,1.11,42.53,2.68,1.23,287.81,79.51,98766.83,88,二级
浙江省,2013-02-02,80.03,93.88,18.44,44.5,1.49,26.69,-2.92,-3.65,281.29,90.21,99315.53,107,三级
浙江省,2013-02-03,39.73,56.3,10.03,23.65,0.76,47.03,-2.37,2.53,283.75,85.4,98811.2,56,二级
浙江省,2013-02-04,60.37,76.17,14.0,30.32,1.1,31.2,0.85,-0.6,285.99,87.74,98707.46,82,二级
