province,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
甘肃省,2013-01-01,14.27,17.51,4.97,4.51,0.39,58.89,2.33,-0.71,263.09,42.64,78533.23,30,一级
甘肃省,2013-01-02,15.67,19.74,9.08,5.23,0.45,48.65,-2.18,-0.13,259.36,53.54,79085.16,25,一级
甘肃省,2013-01-03,19.08,23.24,10.31,6.07,0.4,47.52,-1.52,1.74,259.2,54.74,79103.39,28,一级
甘肃省,2013-01-04,26.35,31.84,11.5,6.35,0.46,50.83,0.12,1.14,260.47,55.48,78665.77,38,一级
甘肃省,2013-01-05,28.09,32.84,10.88,5.9,0.44,52.44,1.81,0.05,261.68,49.79,78693.87,41,一级
甘肃省,2013-01-06,30.42,34.36,10.01,6.67,0.46,50.85,2.24,-0.37,262.42,50.8,78763.76,44,一级
甘肃省,2013-01-07,24.44,28.31,6.94,6.41,0.43,53.95,2.15,-1.01,263.14,44.97,78754.87,35,一级
甘肃省,2013-01-08,16.8,19.84,6.02,5.68,0.37,54.93,1.02,-0.64,262.19,44.51,78958.31,28,一级
甘肃省,2013-01-09,21.09,25.62,7.68,5.88,0.43,57.63,2.44,1.5,263.89,37.44,78708.05,31,一级
甘肃省,2013-01-10,35.12,39.6,10.08,5.64,0.53,55.54,4.53,-0.35,264.22,40.41,78788.69,51,二级
甘肃省,2013-01-11,16.78,21.61,5.98,4.76,0.41,60.82,3.14,0.42,265.76,26.4,78913.05,31,一级
甘肃省,2013-01-12,23.88,28.68,7.3,5.23,0.42,59.6,3.23,1.46,267.55,25.54,78530.16,35,一级
甘肃省,2013-01-13,26.54,30.63,8.63,5.38,0.42,53.95,2.53,0.45,267.62,28.45,78456.44,38,一级
甘肃省,2013-01-14,31.7,39.0,9.57,5.87,0.49,53.15,3.43,-1.02,264.87,52.35,78886.65,46,一级
甘肃省,2013-01-15,13.03,19.46,5.25,4.65,0.37,56.91,2.01,-0.31,266.01,44.03,78987.52,29,一级
甘肃省,2013-01-16,14.25,18.75,6.15,5.08,0.36,57.8,-0.37,0.42,267.12,35.56,79156.66,29,一级
甘肃省,2013-01-17,19.79,24.98,9.37,6.23,0.43,52.97,0.56,2.02,267.32,36.87,79243.64,29,一级
甘肃省,2013-01-18,36.3,42.71,12.29,6.76,0.53,52.65,1.31,1.87,268.74,38.21,78968.21,52,二级
甘肃省,2013-01-19,39.26,45.28,13.05,6.52,0.58,49.96,1.5,0.89,267.58,50.3,78464.56,56,二级
甘肃省,2013-01-20,18.49,21.05,6.65,4.15,0.48,54.86,2.04,-1.99,263.62,60.82,78908.47,28,一级
甘肃省,2013-01-21,15.06,16.75,5.28,4.58,0.37,59.71,1.13,0.11,264.89,56.6,78984.55,30,一级
甘肃省,2013-01-22,16.83,18.38,5.56,5.16,0.32,57.3,5.27,0.11,265.55,53.08,78960.13,29,一级
甘肃省,2013-01-23,13.54,15.39,4.52,4.2,0.29,59.4,4.13,-1.42,266.46,37.14,78937.62,30,一级
甘肃省,2013-01-24,8.39,12.61,3.89,3.69,0.28,59.74,2.61,-0.14,266.04,36.15,79101.22,30,一级
甘肃省,2013-01-25,13.29,16.57,4.68,4.91,0.33,59.98,3.82,-1.1,267.15,35.15,79036.2,30,一级
甘肃省,2013-01-26,13.8,16.2,5.06,5.41,0.33,61.99,2.99,-0.74,268.06,33.18,79106.89,31,一级
甘肃省,2013-01-27,17.07,19.79,6.53,5.76,0.35,62.27,2.71,0.96,268.77,32.42,79092.64,32,一级
甘肃省,2013-01-28,23.25,26.75,8.33,5.96,0.42,59.21,2.99,0.58,269.58,34.68,78786.18,34,一级
甘肃省,2013-01-29,24.77,28.69,9.2,5.94,0.43,54.34,3.66,0.93,269.27,44.11,78755.53,36,一级
甘肃省,2013-01-30,22.17,25.83,7.87,5.71,0.38,53.43,4.14,1.91,270.87,40.07,78476.2,32,一级
甘肃省,2013-01-31,16.08,20.94,5.86,4.16,0.3,54.94,3.31,-0.66,269.6,43.4,78671.6,28,一级
甘肃省,2013-02-01,11.74,15.4,5.03,3.96,0.28,56.26,1.93,-0.26,269.52,43.11,79073.84,29,一级
甘肃省,2013-02-02,19.85,23.99,8.93,5.58,0.34,52.76,0.78,2.49,270.79,44.03,78755.16,29,一级
甘肃省,2013-02-03,23.83,26.98,8.18,5.31,0.37,55.52,2.39,-0.11,272.21,41.44,78483.11,35,一级
甘肃省,2013-02-04,15.38,18.38,6.71,4.96,0.32,51.89,0.74,0.92,271.27,40.16,78582.43,26,一级
甘肃省,2013-02-05,11.79,15.2,5.48,4.55,0.26,50.73,0.57,-0.46,272.24,32.32,78907.23,26,一级
甘肃省,2013-02-06,15.17,18.74,6.79,4.39,0.29,49.3,-1.24,0.47,271.44,40.26,78718.91,25,一级
甘肃省,2013-02-07,21.51,26.29,11.72,5.62,0.31,45.35,0.81,-0.75,266.23,60.69,79057.73,31,一级
甘肃省,2013-02-08,18.97,21.91,7.48,4.46,0.28,55.82,3.95,0.05,265.77,64.16,79098.74,28,一级
甘肃省,2013-02-09,18.69,22.36,6.49,4.32,0.3,64.7,3.9,1.64,269.4,38.74,78561.83,33,一级
甘肃省,2013-02-10,25.36,31.37,7.79,3.89,0.34,58.76,1.53,-0.66,267.2,52.45,78678.39,37,一级
甘肃省,2013-02-11,20.79,29.46,8.3,3.84,0.31,55.76,1.64,-1.99,263.72,58.38,79117.65,30,一级
甘肃省,2013-02-12,11.59,15.45,5.13,3.18,0.24,56.28,3.02,0.15,264.82,42.01,79054.28,29,一级
甘肃省,2013-02-13,20.29,25.07,7.5,3.48,0.33,56.94,2.61,-0.56,265.71,49.67,78683.07,29,一级
甘肃省,2013-02-14,13.43,16.79,5.82,2.92,0.24,60.26,1.1,-1.36,264.66,52.09,78856.74,31,一级
甘肃省,2013-02-15,14.05,18.24,6.12,3.49,0.28,58.47,3.56,2.22,268.43,37.43,78533.65,30,一级
甘肃省,2013-02-16,24.63,30.12,8.63,3.72,0.34,58.71,2.72,-0.46,268.22,44.66,78410.57,36,一级
甘肃省,2013-02-17,11.73,16.23,5.76,2.88,0.23,59.05,-1.03,-1.48,264.76,43.13,78504.74,30,一级
甘肃省,2013-02-18,12.77,15.59,6.61,3.6,0.23,59.46,-0.53,-1.05,262.56,55.2,78685.34,30,一级
甘肃省,2013-02-19,19.25,21.65,6.07,3.98,0.28,61.14,2.67,0.42,265.85,44.87,78780.98,31,一级
甘肃省,2013-02-20,25.14,27.69,6.07,4.4,0.31,61.53,1.6,-0.01,267.04,45.11,78981.74,36,一级
甘肃省,2013-02-21,20.84,23.71,6.44,4.84,0.31,60.42,1.83,-0.18,267.2,47.1,79245.94,31,一级
甘肃省,2013-02-22,13.92,16.37,5.39,4.27,0.28,60.45,1.56,1.24,270.93,35.59,79106.49,31,一级
甘肃省,2013-02-23,22.02,25.41,7.42,4.26,0.31,59.01,0.31,2.32,272.78,42.17,78888.32,32,一级
甘肃省,2013-02-24,29.22,34.26,8.44,4.21,0.33,56.55,3.47,1.0,273.61,40.43,78762.65,42,一级
甘肃省,2013-02-25,20.05,40.28,4.66,3.44,0.24,54.87,0.32,-0.73,273.49,31.56,78977.16,41,一级
甘肃省,2013-02-26,20.85,32.04,6.73,4.73,0.3,54.78,-0.06,0.58,273.97,34.44,78896.62,33,一级
甘肃省,2013-02-27,32.44,42.12,9.99,5.46,0.35,55.46,0.9,0.58,275.02,38.98,78570.94,47,一级
甘肃省,2013-02-28,21.98,33.96,4.44,2.65,0.22,59.52,-3.34,-2.06,270.31,35.09,78610.88,34,一级
甘肃省,2013-03-01,23.44,50.84,5.12,3.26,0.22,55.82,-0.86,-0.11,268.42,30.73,79051.27,51,二级
甘肃省,2013-03-02,22.6,34.05,5.13,3.7,0.23,53.24,3.6,-1.09,271.17,30.5,79559.76,35,一级
甘肃省,2013-03-03,14.92,20.32,3.51,3.69,0.22,59.53,3.55,-0.75,274.31,22.35,79487.74,30,一级
