province,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
贵州省,2013-01-01,49.91,68.91,37.09,13.96,0.65,49.95,-0.44,1.28,277.28,52.55,89399.28,69,二级
贵州省,2013-01-02,66.46,92.96,33.59,15.91,0.75,41.74,-3.1,0.67,278.01,62.57,89471.92,90,二级
贵州省,2013-01-03,57.51,65.21,28.01,12.09,0.7,41.06,-4.54,-2.75,271.25,72.17,90232.06,79,二级
贵州省,2013-01-04,55.12,57.51,25.4,8.66,0.62,45.03,-3.09,1.67,271.25,76.45,89632.5,76,二级
贵州省,2013-01-05,61.56,68.66,26.33,8.27,0.7,46.04,-2.62,0.13,272.97,71.71,89369.13,84,二级
贵州省,2013-01-06,75.77,87.44,33.45,10.32,0.81,45.16,-2.3,0.69,272.83,69.91,89484.79,101,三级
贵州省,2013-01-07,82.72,94.89,36.49,10.53,0.84,53.26,-1.41,0.36,273.83,74.91,89370.22,110,三级
贵州省,2013-01-08,96.39,106.26,39.74,11.3,0.9,51.96,-2.03,-2.29,273.39,82.82,89511.41,127,三级
贵州省,2013-01-09,130.0,147.81,54.83,15.23,1.1,46.85,-3.0,-1.92,272.94,69.79,89741.91,172,四级
贵州省,2013-01-10,136.77,154.34,51.35,19.1,1.17,47.41,-3.19,0.87,273.81,61.94,89600.73,182,四级
贵州省,2013-01-11,138.13,150.58,47.94,13.36,1.13,49.66,-1.52,-2.66,274.54,68.58,89754.1,184,四级
贵州省,2013-01-12,133.54,147.31,56.28,15.64,1.12,51.14,-1.02,0.11,276.61,64.53,89558.11,177,四级
贵州省,2013-01-13,123.05,143.42,56.98,20.54,1.2,47.72,-0.25,2.4,280.08,60.02,89178.46,162,四级
贵州省,2013-01-14,116.84,135.3,46.11,16.58,1.06,46.05,-2.33,2.71,279.26,68.19,89342.6,153,四级
贵州省,2013-01-15,109.38,120.82,38.15,14.94,1.0,43.08,-1.0,0.34,278.37,80.48,89608.49,143,三级
贵州省,2013-01-16,113.88,124.26,38.15,15.31,1.09,36.61,-2.05,0.5,278.51,90.08,89710.4,149,三级
贵州省,2013-01-17,114.48,129.15,44.61,14.94,1.18,43.03,-3.45,-2.52,276.7,78.37,90261.28,150,三级
贵州省,2013-01-18,119.81,143.97,38.31,20.28,1.05,44.95,-2.29,2.52,276.69,72.38,90046.52,157,四级
贵州省,2013-01-19,68.99,87.28,26.94,13.04,0.89,43.5,0.07,6.9,280.12,78.77,89255.4,93,二级
贵州省,2013-01-20,54.03,67.15,27.51,11.13,0.78,48.82,1.7,4.99,284.24,72.98,89164.85,74,二级
贵州省,2013-01-21,88.63,100.37,37.9,14.77,0.94,43.12,-0.77,-0.16,280.13,78.77,89633.96,118,三级
贵州省,2013-01-22,81.2,92.89,30.93,12.81,0.88,38.83,-1.9,0.26,277.92,87.47,89723.97,108,三级
贵州省,2013-01-23,87.92,101.25,36.72,14.01,1.1,37.82,-0.72,2.0,278.76,83.61,89502.49,117,三级
贵州省,2013-01-24,87.23,97.03,36.88,12.0,0.92,51.44,-0.57,-3.88,279.95,67.85,89678.14,116,三级
贵州省,2013-01-25,77.13,95.33,41.16,16.66,0.82,43.44,-2.12,2.39,278.78,60.49,89557.83,103,三级
贵州省,2013-01-26,84.37,99.03,37.84,13.71,0.79,52.8,-0.89,-1.8,280.37,59.8,89567.83,112,三级
贵州省,2013-01-27,103.67,129.09,51.07,22.58,1.01,45.69,-3.17,0.67,280.49,55.26,89857.07,136,三级
贵州省,2013-01-28,76.61,99.44,35.39,16.36,0.81,51.57,-0.08,5.33,281.89,58.39,89489.47,103,三级
贵州省,2013-01-29,72.03,87.74,31.43,14.26,0.8,47.19,-0.21,4.55,282.6,80.66,89439.37,97,二级
贵州省,2013-01-30,47.67,58.71,21.31,9.49,0.65,52.31,2.63,6.98,286.02,77.54,89363.35,66,二级
贵州省,2013-01-31,28.68,37.77,15.92,8.34,0.45,56.78,4.73,7.0,288.74,68.71,89212.42,41,一级
贵州省,2013-02-01,46.93,60.35,21.52,11.27,0.57,51.52,0.33,3.26,286.63,70.49,89440.24,65,二级
贵州省,2013-02-02,93.62,111.07,27.47,13.59,0.79,42.36,-1.76,1.32,283.31,87.51,89709.77,124,三级
贵州省,2013-02-03,50.46,59.61,15.65,8.7,0.52,61.26,4.78,7.51,288.47,61.28,89198.43,70,二级
贵州省,2013-02-04,32.36,43.63,14.23,9.41,0.43,59.2,4.17,5.79,288.91,55.12,89177.13,47,一级
贵州省,2013-02-05,49.93,61.33,16.46,9.53,0.51,53.04,1.5,1.98,288.03,56.61,89312.16,69,二级
贵州省,2013-02-06,74.41,88.57,22.02,11.02,0.66,43.47,-1.94,2.15,285.57,76.39,89084.68,100,二级
贵州省,2013-02-07,79.78,86.63,27.93,12.66,0.88,32.56,-3.85,-2.71,280.43,87.53,89185.31,106,三级
贵州省,2013-02-08,45.54,52.63,21.9,10.34,0.73,40.66,-4.07,-2.73,272.62,85.02,89892.88,64,二级
贵州省,2013-02-09,53.37,60.59,20.76,7.67,0.64,52.87,-1.72,0.67,274.68,73.75,89765.19,73,二级
贵州省,2013-02-10,66.23,74.03,22.94,8.03,0.69,57.67,-0.06,3.92,281.31,64.06,89270.51,90,二级
贵州省,2013-02-11,55.52,63.07,19.15,8.15,0.66,49.4,-2.08,1.05,279.58,82.31,89346.82,76,二级
贵州省,2013-02-12,72.0,81.28,25.7,7.81,0.71,48.19,-2.56,-1.57,276.98,79.72,89852.6,97,二级
贵州省,2013-02-13,62.39,70.99,20.15,7.98,0.74,50.42,-0.96,3.98,278.87,73.23,89324.52,85,二级
贵州省,2013-02-14,58.6,68.41,21.49,7.69,0.68,50.87,0.41,1.88,281.54,77.33,89156.23,80,二级
贵州省,2013-02-15,82.12,94.3,34.31,8.69,0.73,51.71,-2.64,-1.01,279.67,63.86,89611.86,109,三级
贵州省,2013-02-16,51.94,63.37,20.49,7.91,0.65,57.31,0.71,6.61,284.16,57.98,89023.51,72,二级
贵州省,2013-02-17,47.19,55.1,19.59,8.76,0.58,57.23,3.51,4.76,288.51,64.23,88679.34,66,二级
贵州省,2013-02-18,56.02,63.21,17.59,7.89,0.57,54.32,2.02,1.93,287.22,71.9,88766.32,77,二级
贵州省,2013-02-19,55.75,65.17,24.88,9.23,0.71,50.35,-3.22,-2.94,276.77,79.79,89542.5,76,二级
贵州省,2013-02-20,55.21,63.74,19.19,7.25,0.57,54.57,-2.71,0.78,276.97,79.49,89647.01,76,二级
贵州省,2013-02-21,59.4,67.82,22.83,8.26,0.6,46.63,-2.01,-0.47,277.76,84.78,89748.29,81,二级
贵州省,2013-02-22,68.21,77.21,31.55,9.26,0.71,50.34,-1.74,-1.99,280.47,68.68,90017.4,92,二级
贵州省,2013-02-23,70.05,84.19,29.47,11.41,0.76,56.54,-1.95,3.36,282.86,59.07,89777.15,94,二级
贵州省,2013-02-24,65.8,75.53,24.33,12.3,0.71,58.0,0.29,5.76,286.92,61.68,89315.32,89,二级
贵州省,2013-02-25,54.42,61.87,17.88,9.98,0.55,58.23,1.08,5.72,288.72,70.59,89184.63,75,二级
贵州省,2013-02-26,63.89,72.64,22.82,9.41,0.57,54.44,-0.49,0.58,286.35,76.99,89242.14,87,二级
