Unnamed: 0,time,province,PM2.5(微克每立方米),PM10(微克每立方米),SO2(微克每立方米),NO2(微克每立方米),CO(毫克每立方米),O3(微克每立方米),U(m/s),V(m/s),TEMP(K),RH(%),PSFC(Pa),lat,lon,AQI
0,2013-01-01,香港,45.71,73.295,13.614999999999998,49.47,0.985,28.725,-1.96,-5.970000000000001,285.66,48.86,101483.785,22.450000000000003,114.22,二级
1,2013-01-02,香港,62.955,94.66,14.535,57.48,1.095,38.34,-2.855,-6.605,288.0,57.155,101484.135,22.450000000000003,114.22,二级
2,2013-01-03,香港,57.825,79.36500000000001,16.805,38.815,1.105,28.605,-3.805,-11.215,285.605,68.91,101823.35,22.450000000000003,114.22,二级
3,2013-01-04,香港,33.545,50.915,12.755,31.825000000000003,1.095,14.64,-3.185,-10.83,281.87,72.86,101684.3,22.450000000000003,114.22,二级
4,2013-01-05,香港,37.515,56.010000000000005,11.43,35.11,1.105,23.98,-2.375,-8.935,283.89,72.26,101375.91,22.450000000000003,114.22,二级
5,2013-01-06,香港,44.88,67.66499999999999,15.22,37.975,1.155,21.58,-2.02,-9.575,284.5,72.18,101435.515,22.450000000000003,114.22,二级
6,2013-01-07,香港,51.16,79.435,13.96,49.495,1.275,26.36,-1.83,-7.635,286.325,70.61500000000001,101337.985,22.450000000000003,114.22,二级
7,2013-01-08,香港,68.745,104.035,19.2,61.06,1.46,32.98,-2.215,-7.835,287.195,68.89,101306.815,22.450000000000003,114.22,二级
8,2013-01-09,香港,58.68000000000001,83.32,18.975,39.96,1.345,31.79,-3.075,-10.365,284.92,66.07,101461.235,22.450000000000003,114.22,二级
9,2013-01-10,香港,66.555,88.07,19.745,34.995,1.255,34.025,-4.045,-7.145,285.67,67.375,101520.73,22.450000000000003,114.22,二级
10,2013-01-11,香港,61.515,86.22,16.5,49.765,1.1949999999999998,58.715,-4.23,-6.984999999999999,288.13,69.84,101544.935,22.450000000000003,114.22,二级
11,2013-01-12,香港,73.725,100.835,18.865,59.85,1.4049999999999998,40.900000000000006,-2.855,-7.640000000000001,288.1,68.325,101367.415,22.450000000000003,114.22,二级
12,2013-01-13,香港,73.545,103.54,22.085,63.555,1.5550000000000002,56.105,-1.5699999999999998,-7.225,288.725,67.03,101070.82,22.450000000000003,114.22,二级
13,2013-01-14,香港,45.54,59.675,11.03,35.255,1.09,76.59,-6.16,-4.84,287.945,60.725,101374.335,22.450000000000003,114.22,二级
14,2013-01-15,香港,40.38,56.12,7.705,41.28,0.94,77.255,-7.095000000000001,-2.365,289.675,74.22,101602.285,22.450000000000003,114.22,二级
15,2013-01-16,香港,62.22,85.88,10.78,71.17,1.225,78.61,-3.75,-3.43,289.985,63.94499999999999,101639.78,22.450000000000003,114.22,二级
16,2013-01-17,香港,58.91,85.055,15.395,47.91,1.29,70.86,-4.615,-8.43,288.275,67.88,101933.265,22.450000000000003,114.22,二级
17,2013-01-18,香港,69.895,87.07,15.875,34.02,1.325,72.49,-6.365,-6.24,286.91,62.91,102104.86,22.450000000000003,114.22,二级
18,2013-01-19,香港,42.370000000000005,57.275,8.685,35.275,0.9,80.785,-7.71,-2.83,288.34000000000003,66.85,101757.56,22.450000000000003,114.22,二级
19,2013-01-20,香港,28.295,42.665,5.105,41.47,0.7549999999999999,65.825,-8.43,-0.215,291.47,89.065,101530.575,22.450000000000003,114.22,二级
20,2013-01-21,香港,25.815,41.77,5.79,44.69,0.8,68.585,-6.445,-1.265,292.69500000000005,92.15,101447.91,22.450000000000003,114.22,二级
21,2013-01-22,香港,44.725,72.695,13.905,69.52,1.13,67.065,-2.91,-6.92,291.625,80.055,101473.58,22.450000000000003,114.22,二级
22,2013-01-23,香港,70.50999999999999,87.315,14.670000000000002,43.91,1.49,75.9,-4.29,-6.025,289.63,73.85499999999999,101454.285,22.450000000000003,114.22,二级
23,2013-01-24,香港,77.58,100.12,11.835,57.395,1.485,97.245,-3.02,-2.795,291.45500000000004,80.315,101346.8,22.450000000000003,114.22,三级
